iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.034048,7.10,7.57
2,403,0.034919,7.01,14.67
3,604,0.034554,7.06,21.73
4,805,0.034362,6.97,28.71
5,1006,0.036742,7.04,35.75
6,1207,0.037054,7.03,42.78
7,1408,0.033925,7.00,49.78
8,1609,0.035151,7.07,56.94
9,1810,0.035466,7.03,63.97
10,2011,0.036454,7.00,70.97
11,2212,0.036347,7.11,78.08
12,2413,0.036178,7.00,85.08
13,2614,0.036135,7.04,92.12
14,2815,0.035998,7.05,99.17
15,3016,0.036704,7.03,106.21
16,3217,0.036487,7.05,113.27
17,3418,0.035949,7.01,120.28
18,3619,0.035687,7.02,127.30
19,3820,0.035437,7.01,134.31
20,4021,0.035504,7.04,141.35
21,4222,0.035394,7.04,148.39
22,4423,0.035109,7.01,155.41
23,4624,0.034899,7.04,162.45
24,4825,0.034592,7.04,169.49
25,5026,0.035390,7.05,176.54
26,5227,0.034117,7.08,183.62
27,5428,0.032899,7.09,190.71
28,5629,0.035133,7.08,197.89
29,5830,0.031295,7.04,204.93
30,6031,0.029678,6.98,212.00
31,6232,0.029092,7.03,219.12
32,6433,0.026392,7.01,226.22
33,6634,0.025194,7.11,233.43
34,6835,0.024132,7.04,240.56
35,7036,0.022034,7.03,247.68
36,7237,0.020732,7.05,254.82
37,7438,0.017898,6.98,261.89
38,7639,0.014986,6.97,268.95
39,7840,0.014525,7.06,276.10
40,8041,0.016403,7.04,283.23
41,8242,0.019109,7.04,290.27
42,8443,0.020232,7.03,297.31
43,8644,0.020062,7.01,304.32
44,8845,0.020233,7.05,311.37
45,9046,0.022194,7.03,318.40
46,9247,0.023258,7.03,325.43
47,9448,0.023139,7.02,332.45
48,9649,0.022497,7.09,339.54
49,9850,0.023618,7.03,346.58
50,10051,0.024000,7.03,353.61
51,10252,0.023609,7.04,360.65
52,10453,0.022556,7.02,367.68
53,10654,0.020368,7.08,374.76
54,10855,0.028094,7.01,381.77
55,11056,0.019782,7.08,388.85
56,11257,0.019585,7.07,395.92
57,11458,0.018411,7.03,402.95
58,11659,0.019230,7.02,409.98
59,11860,0.018486,7.07,417.05
60,12061,0.018620,7.03,424.09
61,12262,0.017789,7.05,431.14
62,12463,0.017421,7.02,438.16
63,12664,0.016281,7.05,445.21
64,12865,0.015325,7.04,452.26
65,13066,0.013729,7.02,459.28
66,13267,0.012819,7.05,466.42
67,13468,0.012177,7.06,473.57
68,13669,0.009591,7.04,480.69
69,13870,0.007905,7.03,487.81
70,14071,0.007265,7.07,494.98
71,14272,0.006169,7.03,502.10
72,14473,0.005278,6.99,509.18
73,14674,0.005795,7.03,516.29
74,14875,0.005672,6.99,523.28
75,15076,0.005818,7.02,530.30
76,15277,0.005177,7.02,537.33
77,15478,0.005707,7.08,544.50
78,15679,0.006175,7.10,551.60
79,15880,0.006628,7.04,558.65
80,16081,0.007489,7.09,565.74
81,16282,0.007520,7.03,572.77
82,16483,0.007040,7.04,579.82
83,16684,0.006332,7.05,586.88
84,16885,0.006796,7.04,593.92
85,17086,0.005429,7.06,600.98
86,17287,0.004591,7.04,608.03
87,17488,0.003694,7.09,615.20
88,17689,0.003339,7.00,622.29
89,17890,0.002731,7.05,629.43
90,18091,0.002295,7.04,636.56
91,18292,0.001922,7.04,643.69
92,18493,0.001738,7.03,650.81
93,18694,0.001476,7.09,657.99
94,18895,0.001255,7.07,665.15
95,19096,0.000953,7.01,672.25
96,19297,0.000818,7.05,679.40
97,19498,0.000668,7.05,686.54
98,19699,0.000521,7.05,693.68
99,19900,0.000482,7.03,700.79
100,20101,0.000414,7.05,707.93
101,20302,0.000358,7.02,715.05
102,20503,0.000320,7.06,722.19
103,20704,0.000273,7.01,729.29
104,20905,0.000268,7.05,736.44
105,21106,0.000225,7.01,743.54
106,21307,0.000208,7.02,750.64
107,21508,0.000197,7.03,757.76
108,21709,0.000185,7.02,764.87
109,21910,0.000167,7.04,772.00
110,22111,0.000166,7.02,779.11
111,22312,0.000151,7.06,786.26
112,22513,0.000145,7.04,793.40
113,22714,0.000142,7.05,800.54
114,22915,0.000129,7.05,807.69
115,23116,0.000121,7.07,814.85
116,23317,0.000119,7.02,821.96
117,23518,0.000105,7.06,829.11
118,23719,0.000102,7.01,836.21
119,23920,0.000098,7.07,843.38
120,24121,0.000091,7.04,850.50
