iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000736,6.95,7.41
2,403,0.001175,6.90,14.40
3,604,0.000521,6.89,21.29
4,805,0.001758,6.92,28.30
5,1006,0.003007,6.93,35.23
6,1207,0.002954,6.92,42.16
7,1408,0.002163,6.88,49.04
8,1609,0.001748,6.89,55.93
9,1810,0.001715,6.92,62.85
10,2011,0.001470,6.90,69.75
11,2212,0.001327,6.92,76.68
12,2413,0.001147,6.92,83.60
13,2614,0.001043,6.89,90.50
14,2815,0.000912,6.89,97.39
15,3016,0.000851,6.91,104.30
16,3217,0.000779,6.90,111.20
17,3418,0.000607,6.92,118.12
18,3619,0.000568,6.88,125.01
19,3820,0.000586,6.93,131.93
20,4021,0.000474,6.93,138.86
21,4222,0.000385,6.89,145.85
22,4423,0.000315,6.90,152.84
23,4624,0.000390,6.92,159.84
24,4825,0.000372,6.97,166.81
25,5026,0.000353,6.94,173.76
26,5227,0.000308,6.91,180.67
27,5428,0.000308,6.87,187.63
28,5629,0.000296,6.90,194.54
29,5830,0.000291,6.87,201.50
30,6031,0.000276,6.94,208.52
31,6232,0.000271,6.92,215.53
32,6433,0.000251,6.89,222.51
33,6634,0.000241,6.91,229.51
34,6835,0.000238,6.91,236.51
35,7036,0.000229,6.87,243.47
36,7237,0.000209,6.91,250.47
37,7438,0.000200,6.92,257.47
38,7639,0.000177,6.93,264.49
39,7840,0.000162,6.90,271.48
40,8041,0.000155,6.91,278.48
41,8242,0.000146,6.92,285.48
42,8443,0.000138,6.90,292.48
43,8644,0.000131,6.91,299.47
44,8845,0.000121,6.94,306.50
45,9046,0.000108,6.92,313.51
46,9247,0.000102,6.92,320.52
47,9448,0.000096,6.96,327.57
48,9649,0.000094,6.97,334.62
49,9850,0.000083,6.94,341.65
