iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000879,7.02,7.50
2,403,0.000485,6.99,14.58
3,604,0.001037,6.99,21.65
4,805,0.004090,7.04,28.69
5,1006,0.002536,7.07,35.76
6,1207,0.001842,7.01,42.77
7,1408,0.002069,6.98,49.75
8,1609,0.002118,7.02,56.77
9,1810,0.002019,6.99,63.77
10,2011,0.001638,7.04,70.81
11,2212,0.001514,7.03,77.84
12,2413,0.001814,7.03,84.87
13,2614,0.001785,6.99,91.87
14,2815,0.001782,7.07,98.93
15,3016,0.001582,7.03,105.96
16,3217,0.001375,7.03,113.00
17,3418,0.001036,6.99,119.99
18,3619,0.000849,6.98,126.97
19,3820,0.000703,7.04,134.01
20,4021,0.000605,7.02,141.03
21,4222,0.000520,6.98,148.01
22,4423,0.000468,7.00,155.02
23,4624,0.000369,7.07,162.17
24,4825,0.001735,7.04,169.30
25,5026,0.000369,7.04,176.35
26,5227,0.000319,7.03,183.38
27,5428,0.000315,6.99,190.46
28,5629,0.000269,6.98,197.53
29,5830,0.000398,6.98,204.60
30,6031,0.000368,7.00,211.60
31,6232,0.000292,6.99,218.59
32,6433,0.000334,7.02,225.62
33,6634,0.000166,7.00,232.61
34,6835,0.000180,7.05,239.75
35,7036,0.000163,6.96,246.71
36,7237,0.000146,7.02,253.82
37,7438,0.000154,7.01,260.92
38,7639,0.000145,7.09,268.01
39,7840,0.000130,7.04,275.14
40,8041,0.000124,7.12,282.35
41,8242,0.000133,7.28,289.72
42,8443,0.000119,7.27,296.99
43,8644,0.000118,7.19,304.28
44,8845,0.000112,7.26,311.63
45,9046,0.000120,7.22,318.95
46,9247,0.000107,7.27,326.22
47,9448,0.000103,7.26,333.57
48,9649,0.000098,7.20,340.86
49,9850,0.000086,7.22,348.17
