iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.023667,6.85,7.31
2,403,0.017910,6.86,14.26
3,604,0.008645,6.84,21.18
4,805,0.003137,6.90,28.17
5,1006,0.001463,6.87,35.12
6,1207,0.000755,6.86,42.06
7,1408,0.000474,6.88,49.03
8,1609,0.000334,6.88,56.00
9,1810,0.000440,6.85,62.94
10,2011,0.000488,6.80,69.74
11,2212,0.000409,6.83,76.58
12,2413,0.000488,6.88,83.46
13,2614,0.000399,6.87,90.33
14,2815,0.000405,6.90,97.24
15,3016,0.000355,6.85,104.08
16,3217,0.000355,6.86,110.94
17,3418,0.000350,6.84,117.79
18,3619,0.000299,6.89,124.68
19,3820,0.000275,6.87,131.64
20,4021,0.000247,6.88,138.61
21,4222,0.000235,6.87,145.56
22,4423,0.000196,6.89,152.55
23,4624,0.000166,6.90,159.53
24,4825,0.000158,6.91,166.53
25,5026,0.000153,6.88,173.50
26,5227,0.000139,6.85,180.43
27,5428,0.000127,6.82,187.35
28,5629,0.000118,6.88,194.31
29,5830,0.000102,6.87,201.28
30,6031,0.000093,6.84,208.21
