iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.010573,7.02,7.50
2,403,0.000601,7.05,14.64
3,604,0.000343,7.03,21.77
4,805,0.000700,7.11,28.97
5,1006,0.004517,7.07,36.05
6,1207,0.007152,7.11,43.16
7,1408,0.006027,7.08,50.24
8,1609,0.006537,7.05,57.29
9,1810,0.000960,7.04,64.33
10,2011,0.010946,7.07,71.41
11,2212,0.012781,7.02,78.42
12,2413,0.003420,7.06,85.48
13,2614,0.003084,7.01,92.50
14,2815,0.018880,7.04,99.55
15,3016,0.014372,7.03,106.58
16,3217,0.004915,7.07,113.65
17,3418,0.007099,7.04,120.70
18,3619,0.008614,7.04,127.74
19,3820,0.009176,7.09,134.83
20,4021,0.001285,7.01,141.84
21,4222,0.001609,7.09,148.94
22,4423,0.001727,7.06,156.00
23,4624,0.001832,7.00,163.01
24,4825,0.001611,7.04,170.05
25,5026,0.001671,7.04,177.10
26,5227,0.001549,7.05,184.15
27,5428,0.001600,7.03,191.18
28,5629,0.001652,7.06,198.25
29,5830,0.001388,7.07,205.32
30,6031,0.001363,6.99,212.31
31,6232,0.001141,7.05,219.36
32,6433,0.001106,7.02,226.38
33,6634,0.001077,7.07,233.46
34,6835,0.001076,7.03,240.49
35,7036,0.001016,7.04,247.53
36,7237,0.001141,7.08,254.61
37,7438,0.001063,7.03,261.65
38,7639,0.000884,7.06,268.70
39,7840,0.000792,7.08,275.79
40,8041,0.000708,7.06,282.84
41,8242,0.000706,7.05,289.89
42,8443,0.000591,7.02,296.92
43,8644,0.000640,7.09,304.01
44,8845,0.000550,7.03,311.04
45,9046,0.000505,7.04,318.08
46,9247,0.000511,7.05,325.14
47,9448,0.000426,7.06,332.20
48,9649,0.000354,7.06,339.26
49,9850,0.000290,7.01,346.28
50,10051,0.000259,7.06,353.42
51,10252,0.000229,7.02,360.54
52,10453,0.000200,7.05,367.67
53,10654,0.000187,7.05,374.81
54,10855,0.000196,7.08,381.98
55,11056,0.000194,7.06,389.04
56,11257,0.000181,7.04,396.08
57,11458,0.000163,7.03,403.20
58,11659,0.000150,7.09,410.39
59,11860,0.000138,7.05,417.53
60,12061,0.000128,7.05,424.67
61,12262,0.000125,7.06,431.82
62,12463,0.000117,7.06,438.97
63,12664,0.000114,7.10,446.16
64,12865,0.000109,7.05,453.30
65,13066,0.000097,7.07,460.46
66,13267,0.000095,7.04,467.59
67,13468,0.000085,7.06,474.74
