iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.015403,7.07,7.55
2,403,0.007131,6.97,14.61
3,604,0.002187,7.02,21.73
4,805,0.001313,7.05,28.87
5,1006,0.000496,7.01,35.97
6,1207,0.000879,7.02,43.08
7,1408,0.000906,7.05,50.13
8,1609,0.000712,6.98,57.11
9,1810,0.000259,6.95,64.06
10,2011,0.000242,7.05,71.20
11,2212,0.000597,6.97,78.26
12,2413,0.000592,7.06,85.32
13,2614,0.000241,7.03,92.35
14,2815,0.000195,7.08,99.52
15,3016,0.000183,7.00,106.61
16,3217,0.000179,7.03,113.72
17,3418,0.000187,7.01,120.82
18,3619,0.000187,7.01,127.84
19,3820,0.000178,7.00,134.85
20,4021,0.000197,7.02,141.95
21,4222,0.000183,7.03,148.98
22,4423,0.000180,7.01,155.99
23,4624,0.000185,6.99,162.99
24,4825,0.000176,7.00,169.99
25,5026,0.000178,7.00,177.09
26,5227,0.000365,7.01,184.10
27,5428,0.000165,7.02,191.12
28,5629,0.000335,6.98,198.19
29,5830,0.000347,7.03,205.22
30,6031,0.000318,7.01,212.23
31,6232,0.000310,6.98,219.22
32,6433,0.000349,7.03,226.25
33,6634,0.000291,7.03,233.28
34,6835,0.000280,6.98,240.26
35,7036,0.000274,7.01,247.27
36,7237,0.000276,6.96,254.24
37,7438,0.000284,7.00,261.24
38,7639,0.000277,6.98,268.22
39,7840,0.000252,7.04,275.27
40,8041,0.000272,7.00,282.27
41,8242,0.000257,7.04,289.31
42,8443,0.000230,7.04,296.35
43,8644,0.000217,7.07,303.42
44,8845,0.000232,6.99,310.41
45,9046,0.000217,7.01,317.42
46,9247,0.000189,7.04,324.47
47,9448,0.000187,6.98,331.45
48,9649,0.000170,7.00,338.45
49,9850,0.000166,6.99,345.45
50,10051,0.000156,7.02,352.47
51,10252,0.000161,7.01,359.57
52,10453,0.000148,7.01,366.59
53,10654,0.000139,7.01,373.69
54,10855,0.000138,7.08,380.86
55,11056,0.000116,7.03,387.98
56,11257,0.000115,7.07,395.14
57,11458,0.000124,7.04,402.27
58,11659,0.000103,6.98,409.25
59,11860,0.000098,7.02,416.36
60,12061,0.000103,7.00,423.45
61,12262,0.000094,7.02,430.47
62,12463,0.000086,7.01,437.58
