iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.001046,6.95,7.42
2,403,0.001418,6.98,14.49
3,604,0.000230,6.96,21.46
4,805,0.000552,7.00,28.55
5,1006,0.000910,6.96,35.51
6,1207,0.000034,6.98,42.49
7,1408,0.000051,7.00,49.58
8,1609,0.000047,6.98,56.57
9,1810,0.000963,6.94,63.51
10,2011,0.000089,6.95,70.47
11,2212,0.000067,6.91,77.38
12,2413,0.000073,7.02,84.41
13,2614,0.000074,7.16,91.57
14,2815,0.000070,7.13,98.70
15,3016,0.000064,7.20,105.90
16,3217,0.000079,7.24,113.15
17,3418,0.000064,7.21,120.36
18,3619,0.000050,7.21,127.57
19,3820,0.000058,7.21,134.79
20,4021,0.000066,7.17,141.96
21,4222,0.000087,7.22,149.18
22,4423,0.000126,7.19,156.37
23,4624,0.000152,7.20,163.57
24,4825,0.000178,7.23,170.80
25,5026,0.000192,7.21,178.01
26,5227,0.000208,7.20,185.21
27,5428,0.000231,7.22,192.43
28,5629,0.001207,7.17,199.60
29,5830,0.000164,7.13,206.73
30,6031,0.000195,7.18,213.92
31,6232,0.000286,7.26,221.17
32,6433,0.000312,7.22,228.40
33,6634,0.000201,7.15,235.54
34,6835,0.000252,7.21,242.75
35,7036,0.000216,7.17,249.92
36,7237,0.000196,7.25,257.18
37,7438,0.000183,7.21,264.39
38,7639,0.000183,7.17,271.56
39,7840,0.000143,7.24,278.81
40,8041,0.000122,7.17,285.99
41,8242,0.000129,7.20,293.19
42,8443,0.000105,7.26,300.45
43,8644,0.000113,7.17,307.62
44,8845,0.000105,7.20,314.83
45,9046,0.000107,7.21,322.04
46,9247,0.000091,7.20,329.24
47,9448,0.000084,7.14,336.38
48,9649,0.000080,7.19,343.57
49,9850,0.000076,7.20,350.77
50,10051,0.000084,7.20,357.98
51,10252,0.000089,7.22,365.19
52,10453,0.000086,7.19,372.39
53,10654,0.000071,7.18,379.57
54,10855,0.000063,7.20,386.77
55,11056,0.000063,7.33,394.10
56,11257,0.000202,7.18,401.29
57,11458,0.000060,7.19,408.48
58,11659,0.000051,7.19,415.67
59,11860,0.000043,7.18,422.85
60,12061,0.000046,7.18,430.04
61,12262,0.000042,7.19,437.23
62,12463,0.000050,7.24,444.48
63,12664,0.000053,7.19,451.67
64,12865,0.000052,7.27,458.94
65,13066,0.000055,7.25,466.19
66,13267,0.000057,7.10,473.30
67,13468,0.000058,6.98,480.28
68,13669,0.000061,6.91,487.20
69,13870,0.000055,6.98,494.18
70,14071,0.000052,6.99,501.18
71,14272,0.000073,6.98,508.16
72,14473,0.000087,6.97,515.13
73,14674,0.000090,7.01,522.15
74,14875,0.000108,6.95,529.10
75,15076,0.000098,6.99,536.09
76,15277,0.000098,6.93,543.02
77,15478,0.000116,6.95,549.98
78,15679,0.000112,6.98,556.96
79,15880,0.000108,7.01,563.97
80,16081,0.000104,6.97,570.94
81,16282,0.000091,6.97,577.91
82,16483,0.000090,6.95,584.87
83,16684,0.000077,6.94,591.81
84,16885,0.000074,7.00,598.81
85,17086,0.000067,6.98,605.79
86,17287,0.000064,7.00,612.79
87,17488,0.000056,6.99,619.78
88,17689,0.000056,6.99,626.78
89,17890,0.000052,6.95,633.73
90,18091,0.000041,6.99,640.72
91,18292,0.000040,6.95,647.67
92,18493,0.000035,6.97,654.64
93,18694,0.000035,6.96,661.61
94,18895,0.000032,6.96,668.57
95,19096,0.000031,6.99,675.65
96,19297,0.000027,6.95,682.69
97,19498,0.000026,6.93,689.71
98,19699,0.000023,7.01,696.81
99,19900,0.000023,6.99,703.88
100,20101,0.000023,6.96,710.93
101,20302,0.000020,6.96,717.99
102,20503,0.000019,6.93,725.01
103,20704,0.000017,6.98,732.07
104,20905,0.000015,6.92,739.08
105,21106,0.000014,6.99,746.16
106,21307,0.000013,6.97,753.22
107,21508,0.000012,6.97,760.27
108,21709,0.000011,6.99,767.35
109,21910,0.000010,6.96,774.41
110,22111,0.000010,7.01,781.50
111,22312,0.000010,6.96,788.56
112,22513,0.000009,6.99,795.55
113,22714,0.000009,6.98,802.62
114,22915,0.000009,7.00,809.70
115,23116,0.000008,6.93,816.72
116,23317,0.000008,6.98,823.78
117,23518,0.000008,6.95,830.82
118,23719,0.000007,6.96,837.87
119,23920,0.000007,7.01,844.97
120,24121,0.000007,7.00,852.06
121,24322,0.000006,6.95,859.10
122,24523,0.000006,6.92,866.11
123,24724,0.000006,7.00,873.20
124,24925,0.000006,6.95,880.23
125,25126,0.000005,6.96,887.29
126,25327,0.000005,6.99,894.37
127,25528,0.000005,6.94,901.40
128,25729,0.000005,6.99,908.48
129,25930,0.000005,7.00,915.56
130,26131,0.000004,6.98,922.63
131,26332,0.000004,6.96,929.68
132,26533,0.000004,6.97,936.74
133,26734,0.000004,6.92,943.75
134,26935,0.000004,6.97,950.81
135,27136,0.000004,6.98,957.87
136,27337,0.000004,6.97,964.93
137,27538,0.000004,6.97,971.98
138,27739,0.000003,6.98,979.05
139,27940,0.000003,6.92,986.06
140,28141,0.000003,6.95,993.10
141,28342,0.000003,6.96,1000.15
142,28543,0.000003,6.94,1007.18
143,28744,0.000003,6.95,1014.21
144,28945,0.000003,6.96,1021.26
145,29146,0.000003,6.98,1028.33
146,29347,0.000003,6.95,1035.28
147,29548,0.000003,7.00,1042.37
148,29749,0.000003,6.94,1049.40
149,29950,0.000003,6.95,1056.44
