iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.025857,6.97,7.45
2,403,0.011825,6.97,14.51
3,604,0.021918,6.97,21.57
4,805,0.022584,6.96,28.53
5,1006,0.026951,6.98,35.51
6,1207,0.028690,6.96,42.47
7,1408,0.029448,6.96,49.43
8,1609,0.029493,6.98,56.41
9,1810,0.030124,6.96,63.38
10,2011,0.028295,6.99,70.37
11,2212,0.026362,6.99,77.36
12,2413,0.024272,6.98,84.34
13,2614,0.022807,6.94,91.29
14,2815,0.020096,7.03,98.32
15,3016,0.018136,7.02,105.34
16,3217,0.014655,6.97,112.31
17,3418,0.011948,7.01,119.32
18,3619,0.008206,7.00,126.32
19,3820,0.006784,7.03,133.44
20,4021,0.005060,7.03,140.57
21,4222,0.003393,6.99,147.64
22,4423,0.002508,7.02,154.76
23,4624,0.002148,6.96,161.81
24,4825,0.001587,6.96,168.86
25,5026,0.001161,7.04,175.99
26,5227,0.000823,6.97,183.05
27,5428,0.000689,7.03,190.17
28,5629,0.000596,6.96,197.23
29,5830,0.000511,6.95,204.27
30,6031,0.000395,7.01,211.37
31,6232,0.000322,7.01,218.47
32,6433,0.000263,6.95,225.51
33,6634,0.000216,6.98,232.58
34,6835,0.000222,7.06,239.73
35,7036,0.000184,6.98,246.71
36,7237,0.000175,7.02,253.82
37,7438,0.000162,7.01,260.92
38,7639,0.000139,6.98,267.98
39,7840,0.000128,7.01,275.07
40,8041,0.000121,6.97,282.14
41,8242,0.000126,7.01,289.24
42,8443,0.000105,6.99,296.23
43,8644,0.000097,7.02,303.34
44,8845,0.000091,6.95,310.38
