iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000788,7.18,7.66
2,403,0.002876,7.15,14.91
3,604,0.003661,7.21,22.12
4,805,0.000724,7.24,29.36
5,1006,0.005954,7.22,36.67
6,1207,0.006441,7.22,43.89
7,1408,0.001268,7.28,51.17
8,1609,0.001426,7.22,58.39
9,1810,0.001688,7.21,65.60
10,2011,0.001689,7.28,72.89
11,2212,0.001698,7.24,80.13
12,2413,0.001379,7.25,87.38
13,2614,0.001291,7.26,94.64
14,2815,0.001127,7.24,101.88
15,3016,0.000967,7.25,109.13
16,3217,0.000857,7.21,116.34
17,3418,0.000835,7.07,123.41
18,3619,0.000758,7.22,130.64
19,3820,0.000764,7.27,137.91
20,4021,0.000604,7.26,145.17
21,4222,0.000557,7.27,152.53
22,4423,0.000574,7.21,159.84
23,4624,0.000534,7.27,167.11
24,4825,0.000494,7.23,174.43
25,5026,0.000454,7.24,181.77
26,5227,0.000404,7.09,188.95
27,5428,0.000379,7.25,196.29
28,5629,0.000401,7.31,203.70
29,5830,0.000079,7.30,211.00
