iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.024563,6.99,7.47
2,403,0.028351,6.93,14.49
3,604,0.017989,6.93,21.43
4,805,0.017531,6.95,28.46
5,1006,0.016787,6.96,35.51
6,1207,0.017473,6.94,42.54
7,1408,0.037803,6.93,49.47
8,1609,0.021659,6.94,56.41
9,1810,0.024524,6.94,63.35
10,2011,0.024742,6.88,70.23
11,2212,0.026963,6.95,77.18
12,2413,0.027028,6.96,84.14
13,2614,0.026746,6.93,91.07
14,2815,0.027188,6.92,98.00
15,3016,0.026667,6.91,104.91
16,3217,0.028241,6.92,111.83
17,3418,0.028322,6.92,118.75
18,3619,0.027981,6.93,125.68
19,3820,0.027280,6.93,132.61
20,4021,0.026767,6.92,139.53
21,4222,0.026942,6.96,146.49
22,4423,0.025630,6.95,153.45
23,4624,0.024800,6.95,160.40
24,4825,0.023636,6.94,167.34
25,5026,0.022736,6.91,174.25
26,5227,0.020865,6.92,181.17
27,5428,0.018765,6.98,188.15
28,5629,0.017996,6.95,195.10
29,5830,0.018166,6.98,202.09
30,6031,0.018675,6.95,209.03
31,6232,0.038025,6.93,215.96
32,6433,0.037928,6.98,222.94
33,6634,0.037148,6.92,229.86
34,6835,0.037787,6.93,236.79
35,7036,0.037738,6.94,243.73
36,7237,0.036946,6.95,250.69
37,7438,0.036823,6.93,257.62
38,7639,0.036751,6.97,264.59
39,7840,0.022727,6.94,271.53
40,8041,0.023563,6.97,278.50
41,8242,0.023036,6.97,285.48
42,8443,0.023526,6.97,292.45
43,8644,0.022311,6.95,299.40
44,8845,0.020821,6.93,306.33
45,9046,0.021929,6.96,313.30
46,9247,0.019340,6.96,320.26
47,9448,0.018059,6.93,327.20
48,9649,0.016329,6.94,334.14
49,9850,0.016998,6.97,341.20
50,10051,0.015925,6.97,348.17
51,10252,0.014182,6.95,355.21
52,10453,0.012507,6.93,362.23
53,10654,0.011548,6.94,369.26
54,10855,0.010915,6.95,376.30
55,11056,0.008670,6.98,383.37
56,11257,0.009924,6.93,390.38
57,11458,0.008424,6.97,397.36
58,11659,0.007167,6.95,404.39
59,11860,0.007016,6.97,411.45
60,12061,0.006728,6.96,418.50
61,12262,0.006882,6.93,425.52
62,12463,0.005954,6.97,432.50
63,12664,0.004577,6.94,439.53
64,12865,0.004332,6.97,446.59
65,13066,0.003639,6.98,453.66
66,13267,0.003675,6.94,460.69
67,13468,0.002772,6.97,467.67
68,13669,0.002571,6.93,474.69
69,13870,0.002200,6.95,481.73
70,14071,0.002043,6.94,488.76
71,14272,0.001567,6.96,495.81
72,14473,0.001120,6.97,502.87
73,14674,0.000939,6.92,509.88
74,14875,0.000872,6.93,516.89
75,15076,0.000808,6.95,523.94
76,15277,0.000754,6.97,530.99
77,15478,0.000655,6.99,538.07
78,15679,0.000745,6.93,545.08
79,15880,0.000694,7.00,552.08
80,16081,0.000883,6.94,559.02
81,16282,0.000803,6.96,565.99
82,16483,0.001010,6.94,572.93
83,16684,0.001430,6.97,579.90
84,16885,0.001549,6.92,586.82
85,17086,0.001849,7.01,593.83
86,17287,0.001869,6.95,600.78
87,17488,0.002713,6.91,607.70
88,17689,0.002797,6.93,614.64
89,17890,0.003826,7.01,621.64
90,18091,0.004283,6.93,628.58
91,18292,0.004299,6.97,635.55
92,18493,0.004953,6.94,642.50
93,18694,0.005672,6.94,649.44
94,18895,0.034503,6.95,656.40
95,19096,0.007667,6.95,663.35
96,19297,0.032789,6.95,670.30
97,19498,0.017097,6.94,677.24
98,19699,0.037535,6.91,684.16
99,19900,0.033961,6.95,691.11
100,20101,0.034247,6.94,698.05
101,20302,0.025985,6.96,705.01
102,20503,0.026907,6.98,711.99
103,20704,0.027716,6.97,718.97
104,20905,0.036683,6.96,725.93
105,21106,0.036690,6.94,732.87
106,21307,0.028202,6.97,739.84
107,21508,0.029540,6.95,746.80
108,21709,0.029341,6.95,753.75
109,21910,0.036930,6.96,760.71
110,22111,0.037038,6.98,767.69
111,22312,0.029090,6.91,774.60
112,22513,0.029023,6.96,781.57
113,22714,0.035350,6.99,788.56
114,22915,0.035300,6.92,795.48
115,23116,0.035844,6.93,802.41
116,23317,0.035855,6.96,809.38
117,23518,0.035919,6.92,816.30
118,23719,0.030147,6.96,823.25
119,23920,0.035651,6.93,830.19
120,24121,0.030517,6.95,837.14
121,24322,0.030812,6.96,844.10
122,24523,0.031378,6.97,851.07
123,24724,0.031386,6.93,858.01
124,24925,0.031085,6.96,864.97
125,25126,0.031274,6.97,871.94
126,25327,0.031209,6.99,878.93
127,25528,0.031527,6.94,885.88
128,25729,0.031024,6.94,892.82
129,25930,0.031027,6.97,899.80
130,26131,0.030906,6.91,906.72
131,26332,0.030604,6.97,913.69
132,26533,0.030674,6.98,920.67
133,26734,0.030152,6.95,927.62
134,26935,0.030054,6.97,934.60
135,27136,0.029664,6.96,941.56
136,27337,0.028677,6.96,948.53
137,27538,0.028061,6.92,955.45
138,27739,0.027457,6.98,962.43
139,27940,0.026620,6.95,969.38
140,28141,0.026024,6.95,976.34
141,28342,0.025525,6.94,983.29
142,28543,0.024181,6.96,990.25
143,28744,0.023514,6.97,997.23
144,28945,0.022729,6.96,1004.19
145,29146,0.020877,6.98,1011.17
146,29347,0.019701,7.03,1018.20
147,29548,0.018619,6.94,1025.14
148,29749,0.017070,6.94,1032.09
149,29950,0.015294,7.01,1039.10
150,30151,0.014042,6.98,1046.09
