iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000401,7.07,7.55
2,403,0.004205,7.05,14.69
3,604,0.010394,7.08,21.77
4,805,0.004351,7.00,28.77
5,1006,0.003515,7.01,35.78
6,1207,0.017901,7.07,42.85
7,1408,0.001298,7.03,49.88
8,1609,0.001374,7.00,56.89
9,1810,0.001163,7.04,63.93
10,2011,0.001414,7.03,70.96
11,2212,0.001275,7.07,78.03
12,2413,0.001140,7.04,85.07
13,2614,0.001145,7.00,92.08
14,2815,0.000848,7.02,99.10
15,3016,0.005401,7.04,106.14
16,3217,0.001020,7.05,113.19
17,3418,0.001099,7.06,120.25
18,3619,0.000574,7.02,127.27
19,3820,0.001988,7.06,134.34
20,4021,0.000484,7.06,141.41
21,4222,0.001675,7.06,148.47
22,4423,0.000682,7.05,155.52
23,4624,0.000600,7.11,162.63
24,4825,0.001000,7.03,169.67
25,5026,0.001110,7.05,176.72
26,5227,0.000972,7.04,183.76
27,5428,0.000858,7.05,190.81
28,5629,0.000822,7.02,197.83
29,5830,0.000220,7.04,204.87
30,6031,0.000203,7.06,212.02
31,6232,0.000161,7.04,219.15
32,6433,0.000140,7.07,226.31
33,6634,0.000144,7.04,233.44
34,6835,0.000131,7.03,240.47
35,7036,0.000099,7.03,247.59
36,7237,0.000109,7.03,254.71
37,7438,0.000116,7.06,261.77
38,7639,0.000111,7.00,268.77
39,7840,0.000095,7.02,275.79
40,8041,0.000091,7.05,282.93
