iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.005875,6.93,7.40
2,403,0.011866,6.85,14.34
3,604,0.008712,6.85,21.18
4,805,0.012258,6.86,28.05
5,1006,0.006313,6.92,34.97
6,1207,0.004012,6.89,41.86
7,1408,0.001669,6.88,48.82
8,1609,0.010903,6.93,55.83
9,1810,0.009697,6.90,62.74
10,2011,0.010403,6.88,69.62
11,2212,0.001162,6.89,76.51
12,2413,0.000959,6.85,83.45
13,2614,0.001008,6.88,90.42
14,2815,0.004822,6.84,97.27
15,3016,0.003589,6.88,104.15
16,3217,0.003002,6.86,111.01
17,3418,0.000845,6.89,117.90
18,3619,0.001079,6.86,124.85
19,3820,0.001186,6.89,131.74
20,4021,0.001496,6.85,138.60
21,4222,0.001700,6.91,145.51
22,4423,0.001655,6.84,152.35
23,4624,0.001587,6.89,159.24
24,4825,0.001655,6.89,166.13
25,5026,0.002032,6.91,173.04
26,5227,0.008895,6.88,179.93
27,5428,0.002021,6.89,186.81
28,5629,0.002130,6.85,193.66
29,5830,0.001988,6.89,200.55
30,6031,0.001846,6.87,207.42
31,6232,0.001713,6.87,214.30
32,6433,0.008221,6.88,221.18
33,6634,0.009684,6.92,228.10
34,6835,0.009212,6.92,235.02
35,7036,0.009424,6.85,241.88
36,7237,0.008247,6.89,248.76
37,7438,0.008671,6.91,255.67
38,7639,0.002425,6.88,262.55
39,7840,0.002983,6.87,269.42
40,8041,0.002705,6.91,276.34
41,8242,0.002896,6.85,283.19
42,8443,0.003316,6.90,290.10
43,8644,0.003036,6.86,296.96
44,8845,0.003375,6.89,303.85
45,9046,0.003404,6.85,310.70
46,9247,0.003360,6.89,317.60
47,9448,0.003325,6.88,324.48
48,9649,0.003036,6.84,331.32
49,9850,0.002800,6.87,338.19
50,10051,0.002455,6.87,345.07
51,10252,0.002338,6.87,351.94
52,10453,0.002004,6.86,358.80
53,10654,0.002303,6.86,365.66
54,10855,0.016480,6.89,372.55
55,11056,0.007080,6.86,379.41
56,11257,0.001956,6.94,386.35
57,11458,0.001749,6.91,393.27
58,11659,0.001765,6.86,400.13
59,11860,0.006495,6.90,407.03
60,12061,0.005796,6.86,413.89
61,12262,0.005375,6.85,420.74
62,12463,0.005056,6.93,427.67
63,12664,0.005531,6.89,434.56
64,12865,0.004227,6.88,441.45
65,13066,0.004062,6.85,448.30
66,13267,0.003913,6.87,455.17
67,13468,0.003699,6.84,462.01
68,13669,0.000269,6.92,468.93
69,13870,0.000290,6.86,475.88
70,14071,0.000320,6.85,482.73
71,14272,0.000286,6.86,489.60
72,14473,0.000302,6.90,496.50
73,14674,0.000260,6.87,503.38
74,14875,0.000225,6.88,510.35
75,15076,0.000269,6.90,517.34
76,15277,0.000263,6.89,524.23
77,15478,0.000273,6.86,531.09
78,15679,0.000286,6.89,537.98
79,15880,0.000291,6.89,544.87
80,16081,0.000263,6.89,551.77
81,16282,0.000299,6.88,558.65
82,16483,0.000267,6.90,565.55
83,16684,0.000276,6.87,572.43
84,16885,0.000261,6.89,579.32
85,17086,0.000257,6.89,586.21
86,17287,0.000258,6.90,593.12
87,17488,0.000256,6.90,600.02
88,17689,0.000264,6.90,606.93
89,17890,0.000246,6.91,613.83
90,18091,0.000253,6.89,620.73
91,18292,0.000245,6.88,627.61
92,18493,0.000233,6.87,634.49
93,18694,0.000228,6.88,641.37
94,18895,0.000219,6.86,648.23
95,19096,0.000211,6.92,655.24
96,19297,0.000205,6.88,662.21
97,19498,0.000201,6.93,669.23
98,19699,0.000197,6.85,676.18
99,19900,0.000191,6.86,683.12
100,20101,0.000178,6.87,690.07
101,20302,0.000175,6.89,697.05
102,20503,0.000170,6.91,704.05
103,20704,0.000166,6.87,711.00
104,20905,0.000160,6.86,717.94
105,21106,0.000159,6.84,724.87
106,21307,0.000160,6.91,731.87
107,21508,0.000159,6.86,738.73
108,21709,0.000156,6.89,745.62
109,21910,0.000151,6.86,752.57
110,22111,0.000139,6.90,759.56
111,22312,0.000153,6.89,766.54
112,22513,0.000143,6.86,773.40
113,22714,0.000148,6.88,780.28
114,22915,0.000138,6.96,787.24
115,23116,0.000137,7.02,794.35
116,23317,0.000138,6.96,801.40
117,23518,0.000138,6.96,808.35
118,23719,0.000137,7.00,815.36
119,23920,0.000134,6.98,822.34
120,24121,0.000127,7.01,829.44
121,24322,0.000121,7.02,836.55
122,24523,0.000120,6.97,843.61
123,24724,0.000118,6.99,850.69
124,24925,0.000114,7.07,857.85
125,25126,0.000107,6.97,864.91
126,25327,0.000103,6.93,871.93
127,25528,0.000100,7.03,879.06
128,25729,0.000099,7.07,886.21
129,25930,0.000095,6.90,893.20
130,26131,0.000089,6.90,900.19
