iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000369,7.00,7.48
2,403,0.001173,7.00,14.57
3,604,0.006086,7.00,21.58
4,805,0.007542,7.01,28.59
5,1006,0.006556,7.01,35.61
6,1207,0.007996,7.02,42.63
7,1408,0.006228,7.06,49.69
8,1609,0.004751,6.99,56.68
9,1810,0.003994,6.99,63.67
10,2011,0.002636,6.98,70.66
11,2212,0.001909,7.02,77.68
12,2413,0.001286,7.12,84.80
13,2614,0.001122,7.00,91.80
14,2815,0.000872,7.10,98.90
15,3016,0.000779,7.01,105.91
16,3217,0.000733,7.02,112.94
17,3418,0.000728,7.02,119.97
18,3619,0.000760,7.01,126.98
19,3820,0.000849,7.02,134.01
20,4021,0.001065,7.04,141.05
21,4222,0.001112,6.99,148.04
22,4423,0.001101,7.02,155.06
23,4624,0.001227,7.00,162.07
24,4825,0.001246,7.02,169.09
25,5026,0.001234,7.02,176.11
26,5227,0.001326,7.02,183.14
27,5428,0.001184,7.02,190.16
28,5629,0.001232,7.04,197.20
29,5830,0.001119,7.05,204.25
30,6031,0.001259,7.04,211.29
31,6232,0.001379,7.02,218.31
32,6433,0.001571,6.99,225.30
33,6634,0.001883,7.04,232.34
34,6835,0.002299,6.98,239.32
35,7036,0.002485,6.97,246.29
36,7237,0.002459,6.98,253.28
37,7438,0.002416,7.00,260.28
38,7639,0.002012,7.03,267.31
39,7840,0.001874,7.01,274.32
40,8041,0.001782,6.99,281.31
41,8242,0.001510,7.02,288.33
42,8443,0.001107,7.03,295.36
43,8644,0.000948,7.04,302.41
44,8845,0.000862,7.00,309.41
45,9046,0.000911,7.02,316.43
46,9247,0.000738,7.00,323.43
47,9448,0.000561,7.01,330.44
48,9649,0.000443,7.05,337.49
49,9850,0.000431,7.03,344.53
50,10051,0.000454,6.99,351.52
51,10252,0.000330,7.00,358.53
52,10453,0.000254,7.05,365.67
53,10654,0.000214,6.99,372.75
54,10855,0.000200,7.05,379.88
55,11056,0.000178,7.03,387.00
56,11257,0.000145,7.04,394.13
57,11458,0.000143,7.00,401.22
58,11659,0.000122,7.02,408.33
59,11860,0.000113,7.01,415.43
60,12061,0.000104,7.01,422.53
61,12262,0.000090,7.01,429.63
