iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000543,6.86,7.33
2,403,0.001953,6.87,14.29
3,604,0.003940,6.96,21.25
4,805,0.006829,6.85,28.10
5,1006,0.004253,6.88,34.99
6,1207,0.012279,6.91,41.90
7,1408,0.014504,6.88,48.78
8,1609,0.002943,6.95,55.73
9,1810,0.002407,6.90,62.63
10,2011,0.002982,6.90,69.53
11,2212,0.012246,6.91,76.44
12,2413,0.002294,6.94,83.39
13,2614,0.005127,6.89,90.28
14,2815,0.005858,6.93,97.22
15,3016,0.005866,6.86,104.08
16,3217,0.006584,6.89,110.97
17,3418,0.006655,6.86,117.83
18,3619,0.007307,6.90,124.73
19,3820,0.007709,6.94,131.68
20,4021,0.007903,6.95,138.62
21,4222,0.007734,6.91,145.54
22,4423,0.007163,6.87,152.41
23,4624,0.007103,6.91,159.32
24,4825,0.006706,6.90,166.23
25,5026,0.006174,6.92,173.14
26,5227,0.005592,6.87,180.02
27,5428,0.005082,6.88,186.90
28,5629,0.004351,6.89,193.79
29,5830,0.003758,6.89,200.68
30,6031,0.003156,6.86,207.55
31,6232,0.002548,6.95,214.50
32,6433,0.002197,6.87,221.37
33,6634,0.001903,6.89,228.26
34,6835,0.001636,6.86,235.12
35,7036,0.001432,6.92,242.05
36,7237,0.001276,6.92,248.97
37,7438,0.001183,6.92,255.89
38,7639,0.001043,6.87,262.76
39,7840,0.000956,6.89,269.65
40,8041,0.000846,6.91,276.56
41,8242,0.000794,6.90,283.47
42,8443,0.000680,6.90,290.37
43,8644,0.000638,6.92,297.30
44,8845,0.000593,6.90,304.20
45,9046,0.000536,6.89,311.10
46,9247,0.000495,6.90,318.08
47,9448,0.000450,6.85,325.03
48,9649,0.000400,6.88,331.99
49,9850,0.000363,6.92,339.00
50,10051,0.000329,6.92,346.01
51,10252,0.000310,6.93,353.03
52,10453,0.000312,6.91,360.04
53,10654,0.000293,6.92,366.95
54,10855,0.000280,6.91,373.96
55,11056,0.000275,6.96,381.01
56,11257,0.000260,6.91,388.01
57,11458,0.000246,6.92,395.01
58,11659,0.000230,6.87,401.98
59,11860,0.000223,6.94,409.00
60,12061,0.000205,6.90,415.99
61,12262,0.000190,6.88,422.96
62,12463,0.000180,6.91,429.96
63,12664,0.000165,6.91,436.96
64,12865,0.000157,6.90,443.94
65,13066,0.000149,6.88,450.91
66,13267,0.000143,6.89,457.89
67,13468,0.000134,6.91,464.89
68,13669,0.000125,6.94,471.92
69,13870,0.000119,6.89,478.89
70,14071,0.000114,6.86,485.84
71,14272,0.000108,6.93,492.86
72,14473,0.000104,6.92,499.86
73,14674,0.000103,6.89,506.84
74,14875,0.000101,6.94,513.87
75,15076,0.000101,6.90,520.87
76,15277,0.000099,6.88,527.84
77,15478,0.000094,6.87,534.80
78,15679,0.000094,6.88,541.76
79,15880,0.000090,6.84,548.60
