iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.005718,6.99,7.47
2,403,0.009955,6.97,14.53
3,604,0.009474,6.92,21.45
4,805,0.013315,6.95,28.40
5,1006,0.014006,6.99,35.39
6,1207,0.008693,6.99,42.39
7,1408,0.006300,6.99,49.38
8,1609,0.016933,6.94,56.32
9,1810,0.007711,6.96,63.28
10,2011,0.010310,6.92,70.20
11,2212,0.013151,6.94,77.15
12,2413,0.008643,6.97,84.12
13,2614,0.011925,6.95,91.07
14,2815,0.004285,6.98,98.05
15,3016,0.005065,6.99,105.13
16,3217,0.005793,6.95,112.09
17,3418,0.005182,7.01,119.10
18,3619,0.005262,6.94,126.04
19,3820,0.005536,7.02,133.07
20,4021,0.013434,6.96,140.03
21,4222,0.004550,6.95,146.99
22,4423,0.004905,6.95,153.94
23,4624,0.008211,6.95,160.90
24,4825,0.004687,6.95,167.84
25,5026,0.006190,6.97,174.82
26,5227,0.004074,6.95,181.77
27,5428,0.006477,6.99,188.85
28,5629,0.006289,6.95,195.81
29,5830,0.005484,6.97,202.78
30,6031,0.005850,7.02,209.81
31,6232,0.006051,6.96,216.77
32,6433,0.006325,6.96,223.74
33,6634,0.006855,6.93,230.67
34,6835,0.006248,6.96,237.64
35,7036,0.006220,7.00,244.64
36,7237,0.005645,6.95,251.59
37,7438,0.006665,6.97,258.56
38,7639,0.004648,6.95,265.52
39,7840,0.004435,7.00,272.52
40,8041,0.009149,6.96,279.48
41,8242,0.003396,7.00,286.48
42,8443,0.008253,6.99,293.56
43,8644,0.002797,6.97,300.54
44,8845,0.002738,6.99,307.62
45,9046,0.005760,7.02,314.72
46,9247,0.002567,7.00,321.73
47,9448,0.006970,6.96,328.78
48,9649,0.007208,6.98,335.76
49,9850,0.003073,7.01,342.78
50,10051,0.003607,6.95,349.73
51,10252,0.003582,6.94,356.67
52,10453,0.002967,6.97,363.64
53,10654,0.002066,6.94,370.58
54,10855,0.002139,6.95,377.62
55,11056,0.002161,6.91,384.53
56,11257,0.002053,7.00,391.54
57,11458,0.002815,6.95,398.58
58,11659,0.001812,6.97,405.56
59,11860,0.003379,6.96,412.60
60,12061,0.003161,7.01,419.61
61,12262,0.003053,6.95,426.56
62,12463,0.006467,6.94,433.51
63,12664,0.001446,7.00,440.51
64,12865,0.001018,6.97,447.57
65,13066,0.000680,7.03,454.68
66,13267,0.011626,6.99,461.76
67,13468,0.002760,6.96,468.72
68,13669,0.012406,6.94,475.66
69,13870,0.002847,6.98,482.64
70,14071,0.004129,6.98,489.62
71,14272,0.001629,6.94,496.56
72,14473,0.005431,6.94,503.50
73,14674,0.005598,6.96,510.46
74,14875,0.003953,7.00,517.47
75,15076,0.004534,6.96,524.43
76,15277,0.008853,6.96,531.39
77,15478,0.009149,6.93,538.33
78,15679,0.007460,6.99,545.32
79,15880,0.003987,6.93,552.26
80,16081,0.003775,7.02,559.28
81,16282,0.004098,7.00,566.28
82,16483,0.008138,6.96,573.24
83,16684,0.016467,7.00,580.24
84,16885,0.013587,6.96,587.20
85,17086,0.013041,6.97,594.17
86,17287,0.013071,6.99,601.17
87,17488,0.013280,6.97,608.14
88,17689,0.012804,6.96,615.10
89,17890,0.013869,6.96,622.06
90,18091,0.013190,7.05,629.12
91,18292,0.012297,6.99,636.12
92,18493,0.014971,6.97,643.09
93,18694,0.014846,6.98,650.07
94,18895,0.014621,6.99,657.06
95,19096,0.014706,6.96,664.02
96,19297,0.013842,7.03,671.05
97,19498,0.012724,7.00,678.05
98,19699,0.011281,7.00,685.05
99,19900,0.010600,7.01,692.07
100,20101,0.009242,6.91,698.98
101,20302,0.008233,6.96,705.95
102,20503,0.022282,6.97,712.92
103,20704,0.009182,7.00,719.92
104,20905,0.009232,7.01,726.93
105,21106,0.005042,7.00,733.93
106,21307,0.007750,6.99,740.92
107,21508,0.005342,6.92,747.85
108,21709,0.003143,6.96,754.81
109,21910,0.006009,6.99,761.80
110,22111,0.005486,6.99,768.79
111,22312,0.002840,6.97,775.77
112,22513,0.003863,6.99,782.76
113,22714,0.017506,6.97,789.73
114,22915,0.003481,6.96,796.70
115,23116,0.003605,6.96,803.66
116,23317,0.004132,6.98,810.64
117,23518,0.005120,6.97,817.62
118,23719,0.006193,6.94,824.56
119,23920,0.007654,6.98,831.55
120,24121,0.004568,6.95,838.50
121,24322,0.004588,6.98,845.49
122,24523,0.008700,6.97,852.45
123,24724,0.017944,6.96,859.42
124,24925,0.006651,6.94,866.36
125,25126,0.005444,6.94,873.30
126,25327,0.016028,6.99,880.29
127,25528,0.017275,6.97,887.27
128,25729,0.016854,6.95,894.22
129,25930,0.014899,6.98,901.21
130,26131,0.014209,6.97,908.18
131,26332,0.003982,6.98,915.16
132,26533,0.003676,6.99,922.15
133,26734,0.003584,6.94,929.10
134,26935,0.003508,6.96,936.06
135,27136,0.020206,6.95,943.01
136,27337,0.003239,6.94,949.96
137,27538,0.003096,6.94,956.90
138,27739,0.007075,6.97,963.86
139,27940,0.006651,6.99,970.85
140,28141,0.007232,6.97,977.83
141,28342,0.006157,6.95,984.78
142,28543,0.005447,6.99,991.77
143,28744,0.010145,6.94,998.72
144,28945,0.004614,6.98,1005.70
145,29146,0.004405,7.01,1012.72
146,29347,0.004444,6.98,1019.70
147,29548,0.003783,6.97,1026.68
148,29749,0.003751,6.99,1033.66
149,29950,0.002952,6.96,1040.63
150,30151,0.002703,6.92,1047.56
