iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.002240,6.95,7.42
2,403,0.000230,6.94,14.45
3,604,0.000147,6.93,21.47
4,805,0.000154,6.89,28.45
5,1006,0.000622,6.90,35.35
6,1207,0.000752,6.96,42.31
7,1408,0.000332,6.89,49.21
8,1609,0.003520,6.93,56.13
9,1810,0.002337,6.92,63.06
10,2011,0.001403,6.90,69.95
11,2212,0.001297,6.94,76.89
12,2413,0.000928,6.90,83.79
13,2614,0.000589,6.94,90.74
14,2815,0.000686,6.96,97.70
15,3016,0.000571,6.93,104.62
16,3217,0.000489,6.98,111.61
17,3418,0.000462,6.91,118.52
18,3619,0.000350,6.94,125.46
19,3820,0.000302,6.90,132.36
20,4021,0.000241,6.91,139.28
21,4222,0.000206,6.97,146.25
22,4423,0.000172,6.94,153.19
23,4624,0.000143,6.95,160.14
24,4825,0.000135,6.97,167.19
25,5026,0.000098,6.96,174.24
26,5227,0.000102,6.90,181.22
27,5428,0.000088,6.92,188.15
