iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.025577,7.07,7.54
2,403,0.028876,7.12,14.75
3,604,0.031807,7.04,21.79
4,805,0.030247,7.04,28.83
5,1006,0.025638,7.03,35.86
6,1207,0.020843,7.04,42.90
7,1408,0.014913,7.04,50.04
8,1609,0.006375,7.05,57.17
9,1810,0.003466,7.04,64.30
10,2011,0.002228,7.00,71.39
11,2212,0.001617,7.03,78.51
12,2413,0.001285,7.03,85.63
13,2614,0.000994,7.01,92.73
14,2815,0.000841,7.05,99.86
15,3016,0.000694,7.06,107.02
16,3217,0.000710,7.03,114.14
17,3418,0.000830,7.06,121.20
18,3619,0.000664,7.02,128.23
19,3820,0.000623,7.04,135.36
20,4021,0.000581,7.07,142.52
21,4222,0.000400,7.05,149.65
22,4423,0.000395,7.04,156.78
23,4624,0.000436,7.08,163.95
24,4825,0.000317,7.02,170.97
25,5026,0.000294,7.09,178.15
26,5227,0.000288,7.06,185.30
27,5428,0.000242,7.07,192.46
28,5629,0.000216,7.09,199.63
29,5830,0.000180,7.05,206.77
30,6031,0.000128,7.04,213.89
31,6232,0.000126,7.04,221.02
32,6433,0.000119,7.06,228.17
33,6634,0.000105,7.06,235.31
34,6835,0.000082,7.01,242.42
