iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000413,7.03,7.51
2,403,0.000214,6.98,14.58
3,604,0.000210,6.96,21.63
4,805,0.014726,6.92,28.64
5,1006,0.000218,6.99,35.63
6,1207,0.000219,6.96,42.59
7,1408,0.000542,6.97,49.57
8,1609,0.000871,6.99,56.56
9,1810,0.001358,7.03,63.59
10,2011,0.001351,6.97,70.56
11,2212,0.001493,6.97,77.53
12,2413,0.001309,6.97,84.50
13,2614,0.001359,6.99,91.50
14,2815,0.001666,6.97,98.47
15,3016,0.001759,6.94,105.41
16,3217,0.001337,6.93,112.35
17,3418,0.001377,6.93,119.28
18,3619,0.000960,6.92,126.21
19,3820,0.002180,6.98,133.19
20,4021,0.000885,6.99,140.18
21,4222,0.000819,6.96,147.14
22,4423,0.000790,7.02,154.16
23,4624,0.000773,6.99,161.16
24,4825,0.000748,7.01,168.16
25,5026,0.000738,7.01,175.17
26,5227,0.000716,7.01,182.18
27,5428,0.000662,6.98,189.16
28,5629,0.000680,6.95,196.12
29,5830,0.000713,6.93,203.05
30,6031,0.000656,6.93,209.98
31,6232,0.000585,6.93,216.91
32,6433,0.000545,6.95,223.87
33,6634,0.000478,6.95,230.82
34,6835,0.000485,6.97,237.79
35,7036,0.000465,6.94,244.73
36,7237,0.000417,7.01,251.74
37,7438,0.000366,6.99,258.74
38,7639,0.000312,6.98,265.72
39,7840,0.000288,6.95,272.66
40,8041,0.000285,6.94,279.61
41,8242,0.000263,6.98,286.58
42,8443,0.000252,7.00,293.59
43,8644,0.000233,7.02,300.60
44,8845,0.000216,6.98,307.59
45,9046,0.000198,6.99,314.58
46,9247,0.000188,6.97,321.64
47,9448,0.000176,6.94,328.67
48,9649,0.000167,6.97,335.73
49,9850,0.000159,6.92,342.73
50,10051,0.000137,6.95,349.78
51,10252,0.000124,6.98,356.85
52,10453,0.000112,6.99,363.92
53,10654,0.000110,6.92,370.93
54,10855,0.000100,6.98,378.00
55,11056,0.000097,7.00,385.08
56,11257,0.000092,7.00,392.17
