iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.027225,6.99,7.46
2,403,0.021124,6.96,14.51
3,604,0.031602,6.94,21.54
4,805,0.018929,6.93,28.47
5,1006,0.020464,6.93,35.49
6,1207,0.009609,6.91,42.40
7,1408,0.008963,6.93,49.41
8,1609,0.009368,6.90,56.39
9,1810,0.010955,6.95,63.34
10,2011,0.008856,6.89,70.23
11,2212,0.008530,6.92,77.24
12,2413,0.010150,6.92,84.26
13,2614,0.007507,6.92,91.18
14,2815,0.006411,6.93,98.19
15,3016,0.004929,6.90,105.18
16,3217,0.003653,6.92,112.18
17,3418,0.003112,6.92,119.18
18,3619,0.001957,6.91,126.18
19,3820,0.001875,7.00,133.28
20,4021,0.001653,6.91,140.27
21,4222,0.001301,6.92,147.28
22,4423,0.001074,6.91,154.27
23,4624,0.000974,6.95,161.31
24,4825,0.000829,6.96,168.36
25,5026,0.000397,6.94,175.38
26,5227,0.000416,6.90,182.38
27,5428,0.000377,6.89,189.27
28,5629,0.000373,6.94,196.30
29,5830,0.000380,6.92,203.30
30,6031,0.000368,6.94,210.24
31,6232,0.000311,6.89,217.22
32,6433,0.000257,6.90,224.21
33,6634,0.000209,6.93,231.22
34,6835,0.000227,6.98,238.29
35,7036,0.000211,6.92,245.22
36,7237,0.000236,6.90,252.12
37,7438,0.000189,6.93,259.05
38,7639,0.000175,6.93,266.07
39,7840,0.000155,6.95,273.11
40,8041,0.000161,6.97,280.16
41,8242,0.000151,6.92,287.08
42,8443,0.000160,6.92,294.10
43,8644,0.000171,6.99,301.09
44,8845,0.000167,6.92,308.01
45,9046,0.000173,6.95,314.96
46,9247,0.000149,6.91,321.87
47,9448,0.000163,6.91,328.87
48,9649,0.000141,6.93,335.80
49,9850,0.000129,6.94,342.83
50,10051,0.000117,6.90,349.82
51,10252,0.000112,6.92,356.83
52,10453,0.000098,6.95,363.87
53,10654,0.000096,6.91,370.87
54,10855,0.000088,6.90,377.87
