iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.002910,7.08,7.57
2,403,0.014610,7.03,14.69
3,604,0.007102,7.04,21.73
4,805,0.021397,7.02,28.76
5,1006,0.022285,7.01,35.77
6,1207,0.025521,7.01,42.78
7,1408,0.028557,6.98,49.77
8,1609,0.026739,7.02,56.79
9,1810,0.025466,7.03,63.82
10,2011,0.019005,6.99,70.80
11,2212,0.019695,7.04,77.84
12,2413,0.020428,7.07,84.91
13,2614,0.019902,7.06,91.98
14,2815,0.020726,7.05,99.03
15,3016,0.018609,7.09,106.13
16,3217,0.016628,7.08,113.21
17,3418,0.014340,7.00,120.22
18,3619,0.012872,7.06,127.28
19,3820,0.010712,7.04,134.32
20,4021,0.009437,7.03,141.36
21,4222,0.008013,7.01,148.37
22,4423,0.006130,7.05,155.42
23,4624,0.005476,7.06,162.48
24,4825,0.004874,7.02,169.50
25,5026,0.003345,7.02,176.52
26,5227,0.002914,7.04,183.57
27,5428,0.002480,7.03,190.60
28,5629,0.002173,7.03,197.73
29,5830,0.001894,7.04,204.86
30,6031,0.001496,7.08,212.03
31,6232,0.001245,7.02,219.14
32,6433,0.001144,7.04,226.27
33,6634,0.000947,7.00,233.36
34,6835,0.000846,7.02,240.47
35,7036,0.000835,7.02,247.59
36,7237,0.000705,7.04,254.72
37,7438,0.000608,7.01,261.82
38,7639,0.000584,7.02,268.93
39,7840,0.000444,7.01,276.04
40,8041,0.000428,7.02,283.15
41,8242,0.000455,7.03,290.26
42,8443,0.000416,7.01,297.27
43,8644,0.000352,7.01,304.37
44,8845,0.000377,7.01,311.47
45,9046,0.000370,7.04,318.52
46,9247,0.000302,7.06,325.58
47,9448,0.000300,7.01,332.68
48,9649,0.000320,7.03,339.80
49,9850,0.000297,7.00,346.80
50,10051,0.000275,7.03,353.92
51,10252,0.000246,7.02,361.03
52,10453,0.000219,7.03,368.15
53,10654,0.000212,7.09,375.33
54,10855,0.000222,7.11,382.53
55,11056,0.000144,7.05,389.58
56,11257,0.000143,7.00,396.67
57,11458,0.000170,7.01,403.77
58,11659,0.000141,7.03,410.80
59,11860,0.000144,7.07,417.96
60,12061,0.000130,7.06,425.01
61,12262,0.000145,7.03,432.13
62,12463,0.000141,7.04,439.18
63,12664,0.000126,7.05,446.24
64,12865,0.000138,7.02,453.35
65,13066,0.000135,7.00,460.35
66,13267,0.000138,7.05,467.41
67,13468,0.000133,7.02,474.42
68,13669,0.000127,7.04,481.46
69,13870,0.000138,7.06,488.53
70,14071,0.000138,7.00,495.53
71,14272,0.000119,7.01,502.54
72,14473,0.000118,7.02,509.65
73,14674,0.000113,7.01,516.76
74,14875,0.000121,7.07,523.91
75,15076,0.000128,7.03,530.94
76,15277,0.000112,7.00,537.95
77,15478,0.000109,6.99,545.03
78,15679,0.000110,7.02,552.13
79,15880,0.000100,7.00,559.14
80,16081,0.000092,7.04,566.27
