iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.009040,6.85,7.32
2,403,0.014456,6.82,14.23
3,604,0.008588,6.87,21.10
4,805,0.015060,6.88,28.07
5,1006,0.014146,6.89,34.97
6,1207,0.011163,6.88,41.84
7,1408,0.006506,6.87,48.72
8,1609,0.001039,6.87,55.68
9,1810,0.000540,6.89,62.65
10,2011,0.000377,6.85,69.59
11,2212,0.000350,6.87,76.56
12,2413,0.000304,6.87,83.51
13,2614,0.000330,6.87,90.47
14,2815,0.000321,6.85,97.32
15,3016,0.000287,6.85,104.17
16,3217,0.000309,6.86,111.12
17,3418,0.000335,6.87,117.98
18,3619,0.000302,6.85,124.84
19,3820,0.000223,6.87,131.72
20,4021,0.000238,6.88,138.69
21,4222,0.000235,6.91,145.59
22,4423,0.000192,6.94,152.53
23,4624,0.000165,6.87,159.49
24,4825,0.000166,6.87,166.45
25,5026,0.000139,6.89,173.34
26,5227,0.000118,6.87,180.29
27,5428,0.000105,6.89,187.27
28,5629,0.000091,6.88,194.23
