iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.002811,7.04,7.51
2,403,0.003390,7.00,14.60
3,604,0.003554,7.06,21.66
4,805,0.016682,7.04,28.70
5,1006,0.020992,7.03,35.74
6,1207,0.028001,7.00,42.74
7,1408,0.027857,7.06,49.80
8,1609,0.026794,7.02,56.83
9,1810,0.027264,7.08,63.91
10,2011,0.019017,7.00,70.92
11,2212,0.016898,7.02,77.95
12,2413,0.017427,7.05,84.99
13,2614,0.017273,7.00,92.00
14,2815,0.015206,7.06,99.06
15,3016,0.013175,7.02,106.08
16,3217,0.010706,7.05,113.13
17,3418,0.008871,7.06,120.19
18,3619,0.005943,7.03,127.22
19,3820,0.004259,7.09,134.31
20,4021,0.002901,7.04,141.35
21,4222,0.001865,7.08,148.43
22,4423,0.001638,7.07,155.59
23,4624,0.001052,7.04,162.73
24,4825,0.000776,7.01,169.83
25,5026,0.000640,7.07,176.99
26,5227,0.000624,7.03,184.11
27,5428,0.000600,7.06,191.26
28,5629,0.000419,7.01,198.36
29,5830,0.000321,7.04,205.49
30,6031,0.000348,7.01,212.60
31,6232,0.000352,7.04,219.64
32,6433,0.000280,7.05,226.69
33,6634,0.000277,7.03,233.81
34,6835,0.000280,7.07,240.98
35,7036,0.000258,7.04,248.02
36,7237,0.000248,7.07,255.18
37,7438,0.000234,7.04,262.31
38,7639,0.000209,7.07,269.47
39,7840,0.000213,7.05,276.62
40,8041,0.000204,7.03,283.64
41,8242,0.000210,7.06,290.80
42,8443,0.000176,7.00,297.80
43,8644,0.000160,7.02,304.91
44,8845,0.000149,7.05,312.05
45,9046,0.000128,7.05,319.19
46,9247,0.000140,7.09,326.37
47,9448,0.000140,7.07,333.44
48,9649,0.000153,7.05,340.49
49,9850,0.000143,7.02,347.51
50,10051,0.000128,7.06,354.57
51,10252,0.000116,7.06,361.64
52,10453,0.000108,7.06,368.79
53,10654,0.000104,7.03,375.91
54,10855,0.000089,7.06,383.06
