iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.013814,6.89,7.36
2,403,0.006413,6.94,14.39
3,604,0.005290,6.87,21.35
4,805,0.004523,6.87,28.32
5,1006,0.004891,6.90,35.30
6,1207,0.007039,6.88,42.18
7,1408,0.004920,6.95,49.13
8,1609,0.006119,6.89,56.03
9,1810,0.006146,6.96,62.99
10,2011,0.005322,6.89,69.88
11,2212,0.005109,6.91,76.79
12,2413,0.004259,6.90,83.69
13,2614,0.000356,6.97,90.74
14,2815,0.002888,6.94,97.77
15,3016,0.002303,6.95,104.72
16,3217,0.002296,6.93,111.65
17,3418,0.002136,6.93,118.59
18,3619,0.002180,6.91,125.50
19,3820,0.002046,6.95,132.45
20,4021,0.001306,6.95,139.40
21,4222,0.001144,6.92,146.33
22,4423,0.000898,6.90,153.23
23,4624,0.000816,6.91,160.14
24,4825,0.000649,6.94,167.09
25,5026,0.000626,6.93,174.02
26,5227,0.000508,6.96,180.99
27,5428,0.000432,6.91,187.90
28,5629,0.000386,6.89,194.79
29,5830,0.000299,6.97,201.77
30,6031,0.000232,6.91,208.77
31,6232,0.000203,6.96,215.82
32,6433,0.000206,6.96,222.86
33,6634,0.000167,6.93,229.80
34,6835,0.000162,6.92,236.81
35,7036,0.000168,6.89,243.79
36,7237,0.000155,6.99,250.79
37,7438,0.000122,6.92,257.80
38,7639,0.000137,6.93,264.81
39,7840,0.000111,6.90,271.72
40,8041,0.000102,6.96,278.77
41,8242,0.000115,6.96,285.82
42,8443,0.000112,6.95,292.77
43,8644,0.000108,6.94,299.71
44,8845,0.000119,6.91,306.63
45,9046,0.000117,6.90,313.53
46,9247,0.000124,6.91,320.44
47,9448,0.000145,6.91,327.36
48,9649,0.000141,6.93,334.29
49,9850,0.000156,6.93,341.23
50,10051,0.000152,6.92,348.15
51,10252,0.000151,6.92,355.07
52,10453,0.000146,6.94,362.01
53,10654,0.000148,6.90,368.92
54,10855,0.000148,6.94,375.85
55,11056,0.000132,6.91,382.76
56,11257,0.000117,6.94,389.71
57,11458,0.000100,6.89,396.60
58,11659,0.000097,6.95,403.64
59,11860,0.000102,6.94,410.67
60,12061,0.000090,6.93,417.60
