iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.006866,6.93,7.41
2,403,0.010395,6.95,14.44
3,604,0.013586,6.91,21.35
4,805,0.012423,6.97,28.32
5,1006,0.012380,6.93,35.25
6,1207,0.015877,6.91,42.16
7,1408,0.030651,6.90,49.06
8,1609,0.031400,6.90,55.96
9,1810,0.030586,6.90,62.87
10,2011,0.030046,6.90,69.77
11,2212,0.027982,6.92,76.70
12,2413,0.029420,6.90,83.60
13,2614,0.026630,6.89,90.49
14,2815,0.026245,6.89,97.39
15,3016,0.025396,6.90,104.29
16,3217,0.023939,6.91,111.20
17,3418,0.022459,6.92,118.11
18,3619,0.020643,6.93,125.04
19,3820,0.019836,6.89,131.94
20,4021,0.016975,6.89,138.83
21,4222,0.016192,6.92,145.76
22,4423,0.013948,6.91,152.67
23,4624,0.013238,6.94,159.62
24,4825,0.011692,6.90,166.52
25,5026,0.010602,6.89,173.41
26,5227,0.009016,6.94,180.35
27,5428,0.007962,6.95,187.31
28,5629,0.006712,6.92,194.22
29,5830,0.005416,6.94,201.26
30,6031,0.004425,6.90,208.25
31,6232,0.003112,6.92,215.26
32,6433,0.002416,6.92,222.27
33,6634,0.001933,6.93,229.29
34,6835,0.001595,6.91,236.29
35,7036,0.001312,6.93,243.31
36,7237,0.001038,6.93,250.33
37,7438,0.000872,6.91,257.32
38,7639,0.000591,6.91,264.32
39,7840,0.000546,6.94,271.35
40,8041,0.000440,6.92,278.36
41,8242,0.000415,6.94,285.39
42,8443,0.000332,6.92,292.40
43,8644,0.000261,6.93,299.42
44,8845,0.000250,6.90,306.41
45,9046,0.000213,6.91,313.41
46,9247,0.000175,6.89,320.38
47,9448,0.000145,6.97,327.44
48,9649,0.000127,6.92,334.45
49,9850,0.000119,6.97,341.51
50,10051,0.000106,6.92,348.51
51,10252,0.000098,6.97,355.57
52,10453,0.000093,6.94,362.60
53,10654,0.000087,6.93,369.61
