iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000393,7.02,7.50
2,403,0.000469,6.99,14.58
3,604,0.000369,6.97,21.55
4,805,0.000355,6.98,28.62
5,1006,0.000343,7.03,35.74
6,1207,0.000302,7.02,42.85
7,1408,0.000963,7.00,49.94
8,1609,0.000499,7.01,56.95
9,1810,0.000198,7.01,63.96
10,2011,0.000184,7.04,71.09
11,2212,0.000157,6.98,78.16
12,2413,0.000175,6.99,85.24
13,2614,0.000178,7.00,92.24
14,2815,0.000177,7.02,99.26
15,3016,0.000144,7.02,106.28
16,3217,0.000295,7.02,113.39
17,3418,0.000628,6.98,120.38
18,3619,0.000560,6.97,127.35
19,3820,0.007529,7.02,134.38
20,4021,0.001237,7.02,141.39
21,4222,0.001958,7.04,148.44
22,4423,0.005694,7.10,155.54
23,4624,0.004881,7.02,162.57
24,4825,0.004770,7.03,169.60
25,5026,0.004036,7.01,176.61
26,5227,0.004135,7.02,183.63
27,5428,0.004182,7.00,190.64
28,5629,0.003930,7.08,197.72
29,5830,0.003554,7.00,204.72
30,6031,0.003255,7.03,211.76
31,6232,0.002788,7.04,218.79
32,6433,0.002776,7.00,225.79
33,6634,0.003553,7.05,232.85
34,6835,0.002346,7.04,239.88
35,7036,0.002189,7.01,246.89
36,7237,0.002071,7.02,253.91
37,7438,0.002202,7.03,260.95
38,7639,0.001806,7.02,267.97
39,7840,0.001626,6.97,274.95
40,8041,0.001224,7.04,281.99
41,8242,0.000915,6.99,288.99
42,8443,0.000854,7.01,296.00
43,8644,0.000642,7.02,303.02
44,8845,0.000496,7.02,310.05
45,9046,0.000426,7.02,317.07
46,9247,0.000334,7.01,324.08
47,9448,0.000377,7.01,331.09
48,9649,0.000318,6.97,338.06
49,9850,0.000322,7.02,345.09
50,10051,0.000275,7.04,352.13
51,10252,0.000257,6.99,359.12
52,10453,0.000239,7.04,366.16
53,10654,0.000223,7.00,373.16
54,10855,0.000221,6.99,380.16
55,11056,0.000208,7.00,387.15
56,11257,0.000190,7.04,394.19
57,11458,0.000176,7.03,401.22
58,11659,0.000186,7.03,408.26
59,11860,0.000161,7.03,415.29
60,12061,0.000141,7.01,422.31
61,12262,0.000127,7.06,429.45
62,12463,0.000109,7.07,436.61
63,12664,0.000099,6.98,443.68
64,12865,0.000086,6.99,450.76
