iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000208,7.01,7.49
2,403,0.000154,6.98,14.56
3,604,0.000196,7.02,21.67
4,805,0.002098,6.95,28.63
5,1006,0.001156,6.98,35.61
6,1207,0.000411,7.06,42.66
7,1408,0.000139,7.05,49.71
8,1609,0.000481,7.01,56.82
9,1810,0.000515,7.02,63.84
10,2011,0.000413,7.02,70.86
11,2212,0.000505,7.02,77.87
12,2413,0.000455,6.98,84.85
13,2614,0.000367,7.05,91.91
14,2815,0.000409,7.00,98.91
15,3016,0.000386,7.00,105.91
16,3217,0.000390,7.00,112.91
17,3418,0.000464,6.99,119.90
18,3619,0.000579,6.99,126.89
19,3820,0.000853,6.99,133.89
20,4021,0.001053,7.01,140.90
21,4222,0.001348,7.04,147.94
22,4423,0.001590,7.02,154.96
23,4624,0.002020,6.99,161.94
24,4825,0.007393,6.98,168.93
25,5026,0.006644,7.02,175.95
26,5227,0.006568,7.03,182.98
27,5428,0.011508,7.01,189.99
28,5629,0.006183,6.96,196.95
29,5830,0.006912,7.01,203.97
30,6031,0.006502,7.02,210.99
31,6232,0.007063,6.99,217.98
32,6433,0.006908,7.03,225.01
33,6634,0.006950,7.04,232.06
34,6835,0.006780,7.03,239.09
35,7036,0.006075,7.02,246.11
36,7237,0.006027,6.99,253.10
37,7438,0.005247,7.02,260.13
38,7639,0.004573,7.07,267.20
39,7840,0.003773,7.02,274.22
40,8041,0.003499,7.02,281.24
41,8242,0.003359,7.03,288.27
42,8443,0.004341,7.01,295.29
43,8644,0.002959,6.98,302.27
44,8845,0.003007,6.99,309.26
45,9046,0.003032,7.02,316.29
46,9247,0.002926,7.06,323.35
47,9448,0.003027,7.00,330.35
48,9649,0.002647,7.03,337.38
49,9850,0.002414,6.97,344.36
50,10051,0.002404,7.02,351.38
51,10252,0.002002,7.01,358.39
52,10453,0.001806,7.00,365.39
53,10654,0.001396,7.00,372.40
54,10855,0.001184,7.04,379.45
55,11056,0.000917,6.95,386.40
56,11257,0.000702,6.99,393.39
57,11458,0.000607,6.99,400.38
58,11659,0.000493,7.03,407.42
59,11860,0.001328,6.98,414.40
60,12061,0.000493,7.02,421.43
61,12262,0.000466,7.01,428.44
62,12463,0.000488,6.99,435.43
63,12664,0.000444,6.99,442.43
64,12865,0.000390,7.01,449.45
65,13066,0.000373,7.01,456.45
66,13267,0.000330,6.96,463.42
67,13468,0.000352,6.95,470.38
68,13669,0.000328,7.00,477.38
69,13870,0.000304,6.97,484.36
70,14071,0.000281,6.98,491.34
71,14272,0.000287,6.99,498.33
72,14473,0.000249,7.01,505.35
73,14674,0.000228,7.01,512.36
74,14875,0.000228,7.00,519.36
75,15076,0.000210,6.98,526.34
76,15277,0.000191,7.00,533.34
77,15478,0.000189,7.00,540.34
78,15679,0.000188,6.96,547.30
79,15880,0.000180,6.98,554.28
80,16081,0.000171,6.97,561.25
81,16282,0.000164,6.99,568.24
82,16483,0.000152,6.96,575.20
83,16684,0.000135,7.00,582.21
84,16885,0.000132,7.03,589.33
85,17086,0.000121,7.00,596.42
86,17287,0.000111,7.03,603.54
87,17488,0.000106,6.99,610.62
88,17689,0.000100,6.95,617.66
89,17890,0.000098,7.03,624.78
90,18091,0.000094,6.95,631.81
91,18292,0.000090,7.01,638.91
