iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.022535,6.87,7.34
2,403,0.028441,6.87,14.30
3,604,0.030576,6.81,21.11
4,805,0.033679,6.90,28.01
5,1006,0.033968,6.86,34.87
6,1207,0.033424,6.88,41.76
7,1408,0.029190,6.85,48.62
8,1609,0.032099,6.84,55.45
9,1810,0.032663,6.83,62.29
10,2011,0.029284,6.88,69.17
11,2212,0.027539,6.86,76.03
12,2413,0.024758,6.83,82.86
13,2614,0.023899,6.90,89.77
14,2815,0.023510,6.87,96.64
15,3016,0.023324,6.87,103.51
16,3217,0.025145,6.85,110.37
17,3418,0.026469,6.90,117.26
18,3619,0.025225,6.86,124.12
19,3820,0.024637,6.88,131.00
20,4021,0.024220,6.88,137.88
21,4222,0.026714,6.85,144.74
22,4423,0.024727,6.90,151.64
23,4624,0.024141,6.89,158.54
24,4825,0.024740,6.87,165.41
25,5026,0.023566,6.84,172.25
26,5227,0.027882,6.85,179.10
27,5428,0.021483,6.87,185.97
28,5629,0.025522,6.86,192.92
29,5830,0.025032,6.90,199.81
30,6031,0.023629,6.85,206.67
31,6232,0.025297,6.86,213.53
32,6433,0.023782,6.86,220.40
33,6634,0.023059,6.86,227.27
34,6835,0.021168,6.88,234.15
35,7036,0.020422,6.90,241.14
36,7237,0.017738,6.86,248.08
37,7438,0.017967,6.87,255.03
38,7639,0.017551,6.87,261.90
39,7840,0.016518,6.88,268.87
40,8041,0.014971,6.93,275.89
41,8242,0.013450,6.88,282.86
42,8443,0.012880,6.87,289.82
43,8644,0.011505,6.90,296.81
44,8845,0.010023,6.91,303.81
45,9046,0.009290,6.85,310.74
46,9247,0.007658,6.90,317.73
47,9448,0.006000,6.88,324.70
48,9649,0.004624,6.86,331.65
49,9850,0.004137,6.88,338.62
50,10051,0.003084,6.86,345.57
51,10252,0.003034,6.84,352.50
52,10453,0.002242,6.90,359.49
53,10654,0.002154,6.83,366.40
54,10855,0.002136,6.87,373.36
55,11056,0.002326,6.87,380.32
56,11257,0.005781,6.87,387.20
57,11458,0.002737,6.88,394.09
58,11659,0.005441,6.88,400.97
59,11860,0.004829,6.88,407.85
60,12061,0.005266,6.83,414.68
61,12262,0.004760,6.88,421.56
62,12463,0.007346,6.87,428.43
63,12664,0.005464,6.88,435.32
64,12865,0.005936,6.88,442.20
65,13066,0.006666,6.86,449.06
66,13267,0.010148,6.86,455.92
67,13468,0.006886,6.85,462.78
68,13669,0.008186,6.85,469.62
69,13870,0.006017,6.90,476.53
70,14071,0.007813,6.85,483.38
71,14272,0.008877,6.84,490.22
72,14473,0.022941,6.85,497.07
73,14674,0.022162,6.86,503.93
74,14875,0.022860,6.88,510.81
75,15076,0.013333,6.89,517.70
76,15277,0.014645,6.89,524.59
77,15478,0.019745,6.83,531.42
78,15679,0.018603,6.86,538.28
79,15880,0.019759,6.87,545.15
80,16081,0.025448,6.88,552.03
81,16282,0.020057,6.86,558.90
82,16483,0.019905,6.86,565.77
83,16684,0.018177,6.86,572.63
84,16885,0.018003,6.85,579.48
85,17086,0.017612,6.84,586.33
86,17287,0.017626,6.87,593.20
87,17488,0.017081,6.84,600.05
88,17689,0.016242,6.85,606.90
89,17890,0.016040,6.83,613.74
90,18091,0.015823,6.88,620.61
91,18292,0.014903,6.83,627.45
92,18493,0.022199,6.87,634.32
93,18694,0.014475,6.89,641.21
94,18895,0.013402,6.85,648.06
95,19096,0.013106,6.85,654.92
96,19297,0.012724,6.85,661.77
97,19498,0.012615,6.84,668.61
98,19699,0.023222,6.88,675.49
99,19900,0.011962,6.88,682.37
100,20101,0.012955,6.86,689.23
101,20302,0.028247,6.84,696.07
102,20503,0.015236,6.88,702.95
103,20704,0.018390,6.84,709.79
104,20905,0.028101,6.90,716.69
105,21106,0.020853,6.84,723.53
106,21307,0.022274,6.87,730.40
107,21508,0.023878,6.91,737.31
108,21709,0.024870,6.88,744.19
109,21910,0.025176,6.87,751.06
110,22111,0.026177,6.86,757.93
111,22312,0.033028,6.86,764.79
112,22513,0.028944,6.94,771.74
113,22714,0.028761,6.93,778.67
114,22915,0.027577,6.88,785.55
115,23116,0.028187,6.90,792.45
116,23317,0.028612,6.93,799.39
117,23518,0.029024,6.85,806.24
118,23719,0.029503,6.88,813.13
119,23920,0.029741,6.88,820.01
120,24121,0.029751,6.86,826.87
121,24322,0.029484,6.90,833.77
122,24523,0.029544,6.89,840.66
123,24724,0.028859,6.80,847.47
124,24925,0.028795,6.86,854.32
125,25126,0.025706,6.89,861.22
126,25327,0.026737,6.87,868.08
127,25528,0.026006,6.85,874.94
128,25729,0.026562,6.89,881.83
129,25930,0.025041,6.86,888.70
130,26131,0.024335,6.87,895.57
131,26332,0.024015,6.87,902.44
132,26533,0.023009,6.84,909.28
133,26734,0.021437,6.87,916.15
134,26935,0.021243,6.84,922.99
135,27136,0.018750,6.89,929.88
136,27337,0.016722,6.90,936.78
137,27538,0.016021,6.86,943.65
138,27739,0.013822,6.87,950.52
139,27940,0.013227,6.89,957.41
140,28141,0.011734,6.83,964.24
141,28342,0.010686,6.86,971.11
142,28543,0.009001,6.86,977.97
143,28744,0.006925,6.89,984.86
144,28945,0.009455,6.87,991.73
145,29146,0.006698,6.84,998.57
146,29347,0.019415,6.85,1005.43
147,29548,0.007135,6.85,1012.27
148,29749,0.008024,6.88,1019.16
149,29950,0.010218,6.90,1026.05
150,30151,0.010790,6.88,1032.93
