iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000843,7.02,7.48
2,403,0.001458,6.98,14.55
3,604,0.002400,6.95,21.50
4,805,0.003513,6.98,28.48
5,1006,0.010894,6.95,35.44
6,1207,0.004498,6.99,42.43
7,1408,0.004843,6.99,49.42
8,1609,0.005762,7.03,56.45
9,1810,0.022569,7.01,63.47
10,2011,0.013124,6.99,70.45
11,2212,0.005561,7.00,77.46
12,2413,0.003761,6.99,84.44
13,2614,0.003360,7.02,91.47
14,2815,0.003055,6.97,98.44
15,3016,0.002938,7.02,105.47
16,3217,0.003332,6.99,112.46
17,3418,0.003582,6.97,119.43
18,3619,0.003124,7.03,126.45
19,3820,0.003487,7.05,133.50
20,4021,0.003015,6.99,140.50
21,4222,0.002538,7.01,147.51
22,4423,0.002343,7.03,154.54
23,4624,0.002258,6.97,161.51
24,4825,0.001930,6.97,168.48
25,5026,0.001591,7.02,175.50
26,5227,0.001670,7.02,182.52
27,5428,0.001282,7.00,189.53
28,5629,0.001246,6.97,196.49
29,5830,0.001133,7.00,203.50
30,6031,0.000996,7.03,210.53
31,6232,0.000833,6.99,217.52
32,6433,0.000718,6.98,224.59
33,6634,0.000675,6.98,231.66
34,6835,0.000582,7.03,238.78
35,7036,0.000524,6.96,245.83
36,7237,0.000461,7.04,252.96
37,7438,0.000439,7.02,260.07
38,7639,0.000390,7.03,267.20
39,7840,0.000342,7.00,274.29
40,8041,0.000309,6.99,281.37
41,8242,0.000276,6.96,288.42
42,8443,0.000253,7.01,295.52
43,8644,0.000222,7.01,302.61
44,8845,0.000200,7.01,309.71
45,9046,0.000186,6.97,316.77
46,9247,0.000173,7.00,323.85
47,9448,0.000156,7.05,330.99
48,9649,0.000153,7.01,338.10
49,9850,0.000134,7.03,345.21
50,10051,0.000124,6.99,352.29
51,10252,0.000114,6.99,359.36
52,10453,0.000112,7.00,366.45
53,10654,0.000106,6.99,373.53
54,10855,0.000104,7.04,380.65
55,11056,0.000102,7.00,387.74
56,11257,0.000100,7.03,394.86
57,11458,0.000085,6.97,401.92
