iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.031266,6.99,7.48
2,403,0.037259,7.05,14.62
3,604,0.038088,7.00,21.62
4,805,0.037780,6.98,28.60
5,1006,0.037634,6.99,35.59
6,1207,0.037927,7.02,42.62
7,1408,0.037945,7.03,49.65
8,1609,0.037361,6.98,56.64
9,1810,0.037196,7.03,63.67
10,2011,0.037141,7.00,70.68
11,2212,0.037024,7.05,77.73
12,2413,0.036954,7.02,84.74
13,2614,0.036923,7.01,91.76
14,2815,0.036893,7.01,98.77
15,3016,0.036838,6.98,105.75
16,3217,0.036684,7.02,112.78
17,3418,0.036647,7.09,119.87
18,3619,0.036569,7.01,126.88
19,3820,0.036469,6.97,133.86
20,4021,0.036392,7.02,140.88
21,4222,0.036126,7.03,147.91
22,4423,0.035977,7.01,154.93
23,4624,0.035875,7.03,161.96
24,4825,0.035498,6.97,168.93
25,5026,0.035023,7.04,175.98
26,5227,0.034193,7.03,183.00
27,5428,0.033768,6.99,190.00
28,5629,0.032980,7.07,197.07
29,5830,0.037626,7.06,204.13
30,6031,0.033944,7.05,211.19
31,6232,0.034244,7.04,218.22
32,6433,0.034400,7.01,225.24
33,6634,0.034394,7.07,232.31
34,6835,0.034222,7.01,239.32
35,7036,0.034529,7.00,246.32
36,7237,0.034437,7.02,253.34
37,7438,0.034597,7.00,260.34
38,7639,0.034284,6.96,267.31
39,7840,0.034436,6.99,274.30
40,8041,0.034512,7.03,281.34
41,8242,0.034374,7.00,288.34
42,8443,0.034260,6.98,295.32
43,8644,0.034150,7.01,302.34
44,8845,0.033742,7.05,309.39
45,9046,0.037661,7.03,316.42
46,9247,0.033522,6.99,323.41
47,9448,0.033068,7.00,330.41
48,9649,0.033333,7.02,337.43
49,9850,0.033114,7.01,344.44
50,10051,0.033457,6.98,351.43
51,10252,0.033737,7.04,358.47
52,10453,0.033930,6.98,365.46
53,10654,0.034008,7.00,372.46
54,10855,0.034430,7.03,379.48
55,11056,0.034442,6.99,386.48
56,11257,0.034480,6.96,393.44
57,11458,0.034937,7.04,400.48
58,11659,0.035153,7.06,407.54
59,11860,0.035325,6.99,414.53
60,12061,0.035158,7.01,421.54
61,12262,0.034905,7.04,428.58
62,12463,0.035044,7.05,435.63
63,12664,0.034880,6.98,442.62
64,12865,0.034680,7.03,449.65
65,13066,0.034224,6.99,456.64
66,13267,0.033857,6.98,463.63
67,13468,0.033501,7.01,470.64
68,13669,0.033027,6.99,477.63
69,13870,0.037597,7.07,484.70
70,14071,0.032664,7.01,491.72
71,14272,0.032728,7.02,498.74
72,14473,0.032632,7.01,505.75
73,14674,0.037621,7.05,512.80
74,14875,0.032659,7.08,519.88
75,15076,0.032866,7.06,526.94
76,15277,0.037548,6.98,533.92
77,15478,0.034403,7.01,540.94
78,15679,0.034727,7.00,547.94
79,15880,0.035009,6.98,554.92
80,16081,0.037913,7.03,561.95
81,16282,0.037898,7.02,568.97
82,16483,0.035018,7.04,576.01
83,16684,0.037060,6.98,582.99
84,16885,0.034998,7.00,590.00
85,17086,0.034995,7.03,597.03
86,17287,0.037546,6.99,604.02
87,17488,0.035101,7.01,611.03
88,17689,0.034968,6.97,618.00
89,17890,0.035088,6.98,624.98
90,18091,0.035206,7.00,631.98
91,18292,0.037104,7.04,639.02
92,18493,0.035094,7.05,646.07
93,18694,0.036680,7.00,653.07
94,18895,0.035076,7.02,660.09
95,19096,0.035028,7.03,667.13
96,19297,0.035001,7.01,674.13
97,19498,0.035140,7.01,681.14
98,19699,0.035094,7.01,688.15
99,19900,0.034941,7.01,695.16
100,20101,0.034612,7.01,702.18
101,20302,0.034207,7.03,709.21
102,20503,0.033987,7.03,716.25
103,20704,0.033247,7.01,723.26
104,20905,0.032308,7.01,730.27
105,21106,0.031770,6.99,737.26
106,21307,0.030811,7.05,744.32
107,21508,0.028844,7.01,751.41
108,21709,0.027469,7.00,758.51
109,21910,0.025812,6.97,765.56
110,22111,0.023875,7.03,772.68
111,22312,0.022011,7.02,779.79
112,22513,0.020437,7.02,786.91
113,22714,0.017203,6.97,793.97
114,22915,0.015962,7.01,801.07
115,23116,0.012924,6.98,808.14
116,23317,0.009982,6.97,815.20
117,23518,0.008265,7.00,822.30
118,23719,0.005758,7.00,829.39
119,23920,0.004519,7.02,836.50
120,24121,0.003353,7.03,843.61
121,24322,0.002833,7.04,850.75
122,24523,0.002583,7.01,857.84
123,24724,0.002812,6.98,864.91
124,24925,0.002891,7.01,871.93
125,25126,0.003435,7.04,878.97
126,25327,0.005529,6.98,885.95
127,25528,0.007387,7.01,892.97
128,25729,0.009853,7.03,900.00
129,25930,0.015043,7.00,907.00
130,26131,0.018960,6.98,913.98
131,26332,0.023057,7.02,921.01
132,26533,0.036092,6.97,927.98
133,26734,0.027733,6.99,934.97
134,26935,0.028885,7.04,942.02
135,27136,0.030708,7.02,949.04
136,27337,0.031588,7.05,956.09
137,27538,0.031522,6.96,963.06
138,27739,0.032008,7.03,970.09
139,27940,0.033121,6.99,977.09
140,28141,0.033331,7.03,984.12
141,28342,0.033576,7.00,991.12
142,28543,0.036595,7.00,998.12
143,28744,0.033748,7.00,1005.13
144,28945,0.033935,6.99,1012.12
145,29146,0.034091,7.01,1019.14
146,29347,0.034359,6.99,1026.13
147,29548,0.034402,6.99,1033.12
148,29749,0.034347,7.05,1040.17
149,29950,0.034309,7.07,1047.24
150,30151,0.034225,7.00,1054.24
