iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000439,10.58,11.20
2,403,0.000441,10.49,21.79
3,604,0.000599,10.51,32.30
4,805,0.000891,10.71,43.02
5,1006,0.001032,10.66,53.68
6,1207,0.001032,10.56,64.24
7,1408,0.000769,10.55,74.80
8,1609,0.000558,10.66,85.46
9,1810,0.000398,10.51,95.97
10,2011,0.000337,10.65,106.72
11,2212,0.000305,10.65,117.47
12,2413,0.000311,10.86,128.42
13,2614,0.000318,11.00,139.42
14,2815,0.000273,11.44,150.87
15,3016,0.000286,11.60,162.56
16,3217,0.000320,12.00,174.56
