iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.010831,7.03,7.49
2,403,0.028599,6.98,14.56
3,604,0.035416,6.98,21.54
4,805,0.037035,6.99,28.53
5,1006,0.038021,7.00,35.53
6,1207,0.037408,6.98,42.51
7,1408,0.037884,7.00,49.52
8,1609,0.037875,7.01,56.53
9,1810,0.037911,7.02,63.55
10,2011,0.037939,7.01,70.56
11,2212,0.037955,6.96,77.52
12,2413,0.037941,6.97,84.50
13,2614,0.038041,6.97,91.47
14,2815,0.037892,7.00,98.47
15,3016,0.037983,6.99,105.46
16,3217,0.037986,7.01,112.48
17,3418,0.037953,6.99,119.47
18,3619,0.037541,6.99,126.46
19,3820,0.037532,7.00,133.46
20,4021,0.037429,6.94,140.41
21,4222,0.037310,7.00,147.41
22,4423,0.037205,7.03,154.45
23,4624,0.037062,7.00,161.45
24,4825,0.036911,6.95,168.40
25,5026,0.036567,6.96,175.36
26,5227,0.036427,6.99,182.36
27,5428,0.036102,6.99,189.35
28,5629,0.035674,7.01,196.37
29,5830,0.034918,6.98,203.35
30,6031,0.034377,6.99,210.33
31,6232,0.033129,6.98,217.32
32,6433,0.031475,6.99,224.31
33,6634,0.028122,6.95,231.26
34,6835,0.026642,6.98,238.25
35,7036,0.023043,6.98,245.23
36,7237,0.018314,6.97,252.20
37,7438,0.013403,6.98,259.19
38,7639,0.007619,6.98,266.17
39,7840,0.009816,6.97,273.23
40,8041,0.013498,6.96,280.19
41,8242,0.036748,6.96,287.15
42,8443,0.036744,6.97,294.13
43,8644,0.037499,7.00,301.13
44,8845,0.037350,6.98,308.12
45,9046,0.035689,6.98,315.10
46,9247,0.036338,7.00,322.10
47,9448,0.028087,7.01,329.11
48,9649,0.036824,6.95,336.06
49,9850,0.036731,7.02,343.08
50,10051,0.037086,6.96,350.04
51,10252,0.036974,6.95,356.99
52,10453,0.032395,6.97,363.96
53,10654,0.037279,7.03,371.00
54,10855,0.033011,7.00,378.00
55,11056,0.034985,7.00,385.00
56,11257,0.037546,6.97,391.97
57,11458,0.037643,6.99,398.96
58,11659,0.037637,6.98,405.94
59,11860,0.037707,6.96,412.91
60,12061,0.037744,7.00,419.91
61,12262,0.037818,7.00,426.91
62,12463,0.037809,7.00,433.91
63,12664,0.037799,6.99,440.90
64,12865,0.033937,6.98,447.88
65,13066,0.035789,6.95,454.84
66,13267,0.035706,7.00,461.84
67,13468,0.035835,6.99,468.83
68,13669,0.035889,7.01,475.85
69,13870,0.035568,7.00,482.85
70,14071,0.035403,6.98,489.83
71,14272,0.035291,6.99,496.83
72,14473,0.035292,7.01,503.84
73,14674,0.031854,7.00,510.84
74,14875,0.032269,6.99,517.84
75,15076,0.032478,7.00,524.83
76,15277,0.032176,6.99,531.83
77,15478,0.032072,6.99,538.82
78,15679,0.031343,6.99,545.81
79,15880,0.031093,6.96,552.77
80,16081,0.031363,6.97,559.75
81,16282,0.030282,6.95,566.70
82,16483,0.037713,6.99,573.69
83,16684,0.029414,6.98,580.68
84,16885,0.028787,6.96,587.64
85,17086,0.028982,7.02,594.67
86,17287,0.037585,7.00,601.67
87,17488,0.037386,7.00,608.66
88,17689,0.037115,6.99,615.66
89,17890,0.036122,7.00,622.67
90,18091,0.030965,7.01,629.67
91,18292,0.031889,6.94,636.61
92,18493,0.032266,6.99,643.61
93,18694,0.032591,6.98,650.58
94,18895,0.035843,7.02,657.61
95,19096,0.035629,7.00,664.61
96,19297,0.033179,6.99,671.60
97,19498,0.033531,6.98,678.58
98,19699,0.032737,7.01,685.59
99,19900,0.032666,6.99,692.58
100,20101,0.032328,7.02,699.61
101,20302,0.031829,7.01,706.63
102,20503,0.031468,6.96,713.59
103,20704,0.031711,6.97,720.56
104,20905,0.031587,7.01,727.57
105,21106,0.030607,6.93,734.50
106,21307,0.034514,6.99,741.50
107,21508,0.029061,6.99,748.49
108,21709,0.029113,6.96,755.45
109,21910,0.027752,7.00,762.45
110,22111,0.026565,6.98,769.43
111,22312,0.024676,6.97,776.41
112,22513,0.022028,6.98,783.39
113,22714,0.020744,7.01,790.40
114,22915,0.018079,7.01,797.41
115,23116,0.015195,7.03,804.44
116,23317,0.013431,6.99,811.43
117,23518,0.008955,7.00,818.44
118,23719,0.007108,7.04,825.48
119,23920,0.005435,7.01,832.59
120,24121,0.003923,6.94,839.62
121,24322,0.002526,6.98,846.69
122,24523,0.001977,6.97,853.76
123,24724,0.001384,6.99,860.84
124,24925,0.001119,6.98,867.91
125,25126,0.000925,6.99,874.98
126,25327,0.000988,6.98,882.05
127,25528,0.000718,6.98,889.03
128,25729,0.000673,7.01,896.13
129,25930,0.000583,7.02,903.24
130,26131,0.000597,6.98,910.31
131,26332,0.000591,6.97,917.29
132,26533,0.000578,7.01,924.30
133,26734,0.000654,6.99,931.38
134,26935,0.000525,7.00,938.38
135,27136,0.000524,7.02,945.49
136,27337,0.000560,7.01,952.59
137,27538,0.000588,7.01,959.60
138,27739,0.000496,6.99,966.59
139,27940,0.000446,7.01,973.69
140,28141,0.000406,6.99,980.77
141,28342,0.000403,7.02,987.88
142,28543,0.000390,7.04,995.01
143,28744,0.000378,7.00,1002.10
144,28945,0.000361,6.97,1009.16
145,29146,0.000315,6.97,1016.22
146,29347,0.000305,6.96,1023.27
147,29548,0.000319,6.96,1030.32
148,29749,0.000295,6.98,1037.30
149,29950,0.000250,7.00,1044.39
150,30151,0.000249,6.93,1051.42
