iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.003379,6.97,7.45
2,403,0.005720,6.92,14.46
3,604,0.008865,6.89,21.35
4,805,0.017599,6.96,28.32
5,1006,0.019178,6.94,35.26
6,1207,0.017900,6.88,42.15
7,1408,0.016339,6.90,49.06
8,1609,0.014671,6.90,55.96
9,1810,0.011600,6.94,62.90
10,2011,0.010952,6.89,69.79
11,2212,0.010447,6.90,76.70
12,2413,0.013462,6.93,83.63
13,2614,0.009661,6.93,90.57
14,2815,0.010237,6.88,97.45
15,3016,0.009331,6.88,104.33
16,3217,0.009583,6.89,111.22
17,3418,0.008637,6.91,118.13
18,3619,0.007817,6.92,125.06
19,3820,0.007776,6.89,131.96
20,4021,0.007132,6.93,138.88
21,4222,0.007198,6.90,145.78
22,4423,0.006478,6.92,152.71
23,4624,0.010805,6.92,159.63
24,4825,0.009043,6.97,166.60
25,5026,0.007345,6.90,173.50
26,5227,0.006409,6.95,180.45
27,5428,0.006235,6.93,187.39
28,5629,0.005829,6.90,194.28
29,5830,0.005368,6.93,201.21
30,6031,0.004852,6.87,208.09
31,6232,0.005366,6.95,215.04
32,6433,0.004871,6.90,221.94
33,6634,0.005185,6.90,228.85
34,6835,0.004833,6.92,235.77
35,7036,0.004598,6.91,242.68
36,7237,0.004251,6.95,249.63
37,7438,0.003935,6.94,256.56
38,7639,0.003975,6.94,263.50
39,7840,0.003693,6.91,270.42
40,8041,0.003057,6.87,277.29
41,8242,0.002935,6.93,284.30
42,8443,0.003035,6.90,291.29
43,8644,0.002982,6.96,298.25
44,8845,0.003099,6.89,305.15
45,9046,0.002848,6.93,312.07
46,9247,0.002290,6.90,319.07
47,9448,0.002018,6.95,326.11
48,9649,0.001785,6.93,333.12
49,9850,0.001780,6.95,340.16
50,10051,0.001580,6.93,347.18
51,10252,0.001436,6.93,354.21
52,10453,0.001414,6.87,361.16
53,10654,0.001262,6.96,368.21
54,10855,0.001121,6.93,375.22
55,11056,0.001038,6.91,382.22
56,11257,0.000970,6.92,389.23
57,11458,0.000810,6.88,396.20
58,11659,0.000661,6.86,403.14
59,11860,0.000617,6.95,410.19
60,12061,0.000565,6.92,417.21
61,12262,0.000504,6.90,424.20
62,12463,0.000417,6.89,431.17
63,12664,0.000405,6.90,438.16
64,12865,0.000365,6.89,445.14
65,13066,0.000338,6.92,452.15
66,13267,0.000327,6.90,459.13
67,13468,0.000284,6.90,466.12
68,13669,0.000252,6.89,473.10
69,13870,0.000250,6.90,480.09
70,14071,0.000222,6.93,487.11
71,14272,0.000217,6.91,494.10
72,14473,0.000202,6.94,501.13
73,14674,0.000186,6.90,508.12
74,14875,0.000158,6.88,515.08
75,15076,0.000147,6.93,522.10
76,15277,0.000136,6.90,529.09
77,15478,0.000127,6.93,536.11
78,15679,0.000124,6.92,543.12
79,15880,0.000111,6.91,550.11
80,16081,0.000106,6.92,557.12
81,16282,0.000094,6.91,564.12
82,16483,0.000088,6.91,571.13
