iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000174,6.95,7.42
2,403,0.000809,6.85,14.36
3,604,0.005423,6.89,21.25
4,805,0.003836,6.85,28.10
5,1006,0.001547,6.85,34.96
6,1207,0.000964,6.87,41.83
7,1408,0.000671,6.92,48.74
8,1609,0.000780,6.85,55.60
9,1810,0.012287,6.86,62.47
10,2011,0.001755,6.87,69.33
11,2212,0.002614,6.87,76.21
12,2413,0.003424,6.89,83.10
13,2614,0.003339,6.90,89.99
14,2815,0.003397,6.90,96.89
15,3016,0.006236,6.87,103.77
16,3217,0.003394,6.91,110.68
17,3418,0.003464,6.91,117.59
18,3619,0.003056,6.91,124.50
19,3820,0.003133,6.88,131.39
20,4021,0.002855,6.89,138.29
21,4222,0.002684,6.91,145.20
22,4423,0.002078,6.84,152.04
23,4624,0.001786,6.88,158.93
24,4825,0.001802,6.91,165.84
25,5026,0.001552,6.89,172.73
26,5227,0.001568,6.89,179.63
27,5428,0.001268,6.88,186.51
28,5629,0.001089,6.85,193.36
29,5830,0.000938,6.89,200.26
30,6031,0.000837,6.88,207.14
31,6232,0.000832,6.86,214.00
32,6433,0.000740,6.89,220.90
33,6634,0.000700,6.90,227.79
34,6835,0.000642,6.90,234.70
35,7036,0.000626,6.89,241.59
36,7237,0.000561,6.84,248.43
37,7438,0.000506,6.89,255.32
38,7639,0.000407,6.89,262.22
39,7840,0.000389,6.84,269.07
40,8041,0.000348,6.90,275.97
41,8242,0.000302,6.90,282.87
42,8443,0.000277,6.84,289.71
43,8644,0.000271,6.90,296.61
44,8845,0.000258,6.88,303.49
45,9046,0.000246,6.91,310.40
46,9247,0.000212,6.87,317.27
47,9448,0.000173,6.90,324.18
48,9649,0.000154,6.92,331.18
49,9850,0.000146,6.91,338.18
50,10051,0.000131,6.89,345.16
51,10252,0.000118,6.91,352.15
52,10453,0.000114,6.85,359.09
53,10654,0.000109,6.92,366.10
54,10855,0.000100,6.91,373.10
55,11056,0.000091,6.87,380.06
