iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.005133,6.73,7.21
2,403,0.003331,6.73,14.04
3,604,0.004645,6.71,20.84
4,805,0.005722,8.91,29.75
5,1006,0.004439,10.62,40.38
6,1207,0.005066,11.07,51.45
7,1408,0.004033,10.83,62.28
8,1609,0.004153,11.06,73.35
9,1810,0.004152,8.53,81.88
10,2011,0.003266,6.71,88.59
11,2212,0.002533,6.74,95.42
12,2413,0.002052,6.72,102.22
13,2614,0.001668,6.73,109.05
14,2815,0.000991,6.77,115.90
15,3016,0.001067,9.23,125.23
16,3217,0.000956,10.55,135.78
17,3418,0.001106,10.39,146.26
18,3619,0.000975,10.43,156.69
19,3820,0.000825,10.44,167.13
20,4021,0.001088,10.41,177.64
21,4222,0.001661,10.74,188.38
22,4423,0.001944,11.03,199.41
23,4624,0.002342,11.55,210.97
24,4825,0.002908,11.75,222.72
25,5026,0.002818,6.72,229.45
26,5227,0.003474,6.71,236.16
27,5428,0.003812,6.77,242.92
28,5629,0.003550,6.76,249.69
29,5830,0.004421,11.71,261.40
30,6031,0.003933,11.45,272.85
31,6232,0.003724,10.99,283.84
32,6433,0.003763,10.85,294.69
33,6634,0.003738,10.78,305.47
34,6835,0.003398,10.62,316.09
35,7036,0.002660,10.80,326.89
36,7237,0.002762,10.65,337.54
37,7438,0.002603,10.60,348.14
38,7639,0.002219,10.73,358.87
39,7840,0.001895,10.61,369.48
40,8041,0.001538,10.72,380.20
41,8242,0.001286,10.50,390.70
42,8443,0.001311,10.59,401.29
43,8644,0.001241,10.55,411.85
44,8845,0.001121,10.55,422.39
45,9046,0.000992,10.65,433.04
46,9247,0.000864,10.55,443.60
47,9448,0.000766,10.81,454.41
48,9649,0.000672,10.89,465.39
49,9850,0.000581,11.00,476.47
50,10051,0.000453,10.99,487.56
51,10252,0.000393,11.42,499.07
52,10453,0.000362,11.79,510.95
53,10654,0.000337,11.91,522.96
54,10855,0.000328,11.98,535.03
55,11056,0.000317,11.88,547.00
56,11257,0.000285,11.53,558.62
57,11458,0.000277,10.63,569.34
58,11659,0.000227,10.72,580.16
59,11860,0.000222,10.55,590.81
60,12061,0.000198,10.61,601.52
61,12262,0.000175,10.52,612.13
62,12463,0.000167,10.60,622.83
63,12664,0.000147,10.60,633.53
64,12865,0.000137,10.73,644.35
65,13066,0.000122,10.86,655.32
66,13267,0.000113,10.65,666.06
67,13468,0.000110,10.69,676.84
68,13669,0.000103,10.75,687.68
69,13870,0.000096,10.60,698.37
70,14071,0.000088,10.68,709.16
