iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.034466,6.88,7.34
2,403,0.032677,6.91,14.34
3,604,0.031463,6.89,21.32
4,805,0.031105,6.89,28.29
5,1006,0.024522,6.87,35.25
6,1207,0.021661,6.93,42.27
7,1408,0.017987,6.92,49.28
8,1609,0.028605,6.87,56.23
9,1810,0.031696,6.89,63.13
10,2011,0.017122,6.87,70.00
11,2212,0.030111,6.85,76.94
12,2413,0.018265,6.89,83.83
13,2614,0.019514,6.88,90.71
14,2815,0.019335,6.93,97.64
15,3016,0.017831,6.88,104.52
16,3217,0.026551,6.84,111.37
17,3418,0.028952,6.88,118.24
18,3619,0.028758,6.87,125.11
19,3820,0.028358,6.91,132.03
20,4021,0.033109,6.87,138.90
21,4222,0.027882,6.94,145.84
22,4423,0.028319,6.91,152.75
23,4624,0.028931,6.89,159.64
24,4825,0.028531,6.91,166.55
25,5026,0.028344,6.86,173.41
26,5227,0.027516,6.87,180.29
27,5428,0.027550,6.86,187.15
28,5629,0.026591,6.87,194.02
29,5830,0.026759,6.93,200.95
30,6031,0.022789,6.89,207.84
31,6232,0.022251,6.90,214.74
32,6433,0.021104,6.86,221.61
33,6634,0.023237,6.91,228.51
34,6835,0.019673,6.90,235.41
35,7036,0.021299,6.85,242.27
36,7237,0.017797,6.85,249.12
37,7438,0.017559,6.91,256.03
38,7639,0.020106,6.91,262.94
39,7840,0.016563,6.92,269.87
40,8041,0.023459,6.91,276.86
41,8242,0.014801,6.90,283.76
42,8443,0.023839,6.86,290.71
43,8644,0.022878,6.91,297.62
44,8845,0.024908,6.88,304.50
45,9046,0.024629,6.89,311.40
46,9247,0.028806,6.90,318.30
47,9448,0.028075,6.86,325.16
48,9649,0.021741,6.90,332.07
49,9850,0.021263,6.90,338.97
50,10051,0.021866,6.90,345.88
51,10252,0.021145,6.86,352.74
52,10453,0.019677,6.87,359.61
53,10654,0.016122,6.90,366.51
54,10855,0.016045,6.85,373.37
55,11056,0.017700,6.87,380.24
56,11257,0.017046,6.92,387.16
57,11458,0.012367,6.88,394.04
58,11659,0.012622,6.88,401.01
59,11860,0.011146,6.87,407.88
60,12061,0.010884,6.89,414.85
61,12262,0.010382,6.89,421.84
62,12463,0.009713,6.87,428.79
63,12664,0.009069,6.89,435.77
64,12865,0.008156,6.86,442.71
65,13066,0.022158,6.87,449.67
66,13267,0.026914,6.93,456.61
67,13468,0.027399,6.92,463.52
68,13669,0.014539,6.90,470.43
69,13870,0.016611,6.87,477.30
70,14071,0.021916,6.86,484.16
71,14272,0.018503,6.87,491.03
72,14473,0.016207,6.90,497.94
73,14674,0.019823,6.93,504.87
74,14875,0.020155,6.91,511.78
75,15076,0.019811,6.89,518.68
76,15277,0.020256,6.87,525.55
77,15478,0.020896,6.89,532.44
78,15679,0.023052,6.89,539.34
79,15880,0.020892,6.86,546.20
80,16081,0.027916,6.86,553.06
81,16282,0.019282,6.91,559.98
82,16483,0.022408,6.84,566.82
83,16684,0.021952,6.85,573.67
84,16885,0.029430,6.85,580.52
85,17086,0.020048,6.88,587.40
86,17287,0.029774,6.94,594.35
87,17488,0.024117,6.87,601.22
88,17689,0.028886,6.89,608.11
89,17890,0.022698,6.87,614.99
90,18091,0.021302,6.87,621.86
91,18292,0.017183,6.94,628.80
92,18493,0.016547,6.87,635.67
93,18694,0.018198,6.86,642.54
94,18895,0.016409,6.83,649.37
95,19096,0.015441,6.90,656.27
96,19297,0.016839,6.90,663.17
97,19498,0.015968,6.86,670.03
98,19699,0.015456,6.90,676.93
99,19900,0.019905,6.89,683.82
100,20101,0.013395,6.88,690.70
101,20302,0.013105,6.84,697.55
102,20503,0.012205,6.85,704.40
103,20704,0.010392,6.87,711.28
104,20905,0.011774,6.87,718.15
105,21106,0.018853,6.86,725.01
106,21307,0.011152,6.87,731.88
107,21508,0.019227,6.86,738.75
108,21709,0.011191,6.87,745.62
109,21910,0.017809,6.91,752.53
110,22111,0.010681,6.87,759.40
111,22312,0.009871,6.86,766.27
112,22513,0.010782,6.91,773.18
113,22714,0.009725,6.92,780.10
114,22915,0.010389,6.89,787.00
115,23116,0.010937,6.87,793.87
116,23317,0.010820,6.86,800.74
117,23518,0.010658,6.89,807.63
118,23719,0.010304,6.89,814.52
119,23920,0.010359,6.88,821.39
120,24121,0.009272,6.87,828.26
121,24322,0.008782,6.89,835.16
122,24523,0.009112,6.92,842.08
123,24724,0.008996,6.87,848.95
124,24925,0.008786,6.86,855.81
125,25126,0.008303,6.91,862.73
126,25327,0.008498,6.91,869.64
127,25528,0.008239,6.87,876.51
128,25729,0.007424,6.88,883.39
129,25930,0.007594,6.87,890.34
130,26131,0.007110,6.89,897.23
131,26332,0.006872,6.86,904.18
132,26533,0.006120,6.86,911.12
133,26734,0.005744,6.86,918.07
134,26935,0.006337,6.89,925.05
135,27136,0.004939,6.87,931.93
136,27337,0.004248,6.86,938.87
137,27538,0.004292,6.91,945.87
138,27739,0.004050,6.85,952.72
139,27940,0.003645,6.88,959.69
140,28141,0.003351,6.87,966.65
141,28342,0.003186,6.93,973.67
142,28543,0.002955,6.89,980.65
143,28744,0.002805,6.93,987.66
144,28945,0.002643,6.85,994.60
145,29146,0.002586,6.86,1001.54
146,29347,0.002615,6.88,1008.51
147,29548,0.002578,6.90,1015.41
148,29749,0.002661,6.95,1022.45
149,29950,0.002554,6.87,1029.32
150,30151,0.002458,6.86,1036.27
