iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000806,7.26,7.76
2,403,0.001070,7.17,15.03
3,604,0.000445,7.24,22.27
4,805,0.000739,7.21,29.57
5,1006,0.000694,7.21,36.79
6,1207,0.000369,7.25,44.04
7,1408,0.000329,7.26,51.40
8,1609,0.000272,7.22,58.70
9,1810,0.005260,7.24,66.03
10,2011,0.001777,7.23,73.27
11,2212,0.001871,7.22,80.49
12,2413,0.000414,7.27,87.76
13,2614,0.001328,7.23,94.99
14,2815,0.002375,7.29,102.28
15,3016,0.000450,7.20,109.49
16,3217,0.000412,7.26,116.74
17,3418,0.001900,7.21,123.96
18,3619,0.000454,7.25,131.22
19,3820,0.000384,7.21,138.42
20,4021,0.000789,7.26,145.69
21,4222,0.002341,7.23,152.92
22,4423,0.000452,7.24,160.16
23,4624,0.002202,7.23,167.39
24,4825,0.001300,7.25,174.64
25,5026,0.001362,7.16,181.81
26,5227,0.001248,7.25,189.06
27,5428,0.001171,7.24,196.31
28,5629,0.001269,7.22,203.53
29,5830,0.001188,7.25,210.78
30,6031,0.001184,7.26,218.05
31,6232,0.001070,7.23,225.28
32,6433,0.001261,7.21,232.50
33,6634,0.001316,7.17,239.67
34,6835,0.001217,7.23,246.90
35,7036,0.001260,7.23,254.13
36,7237,0.000679,7.25,261.38
37,7438,0.000536,7.24,268.62
38,7639,0.000689,7.25,275.88
39,7840,0.000607,7.23,283.11
40,8041,0.000442,7.24,290.36
41,8242,0.000747,7.24,297.60
42,8443,0.001194,7.16,304.76
43,8644,0.000584,7.11,311.87
44,8845,0.000504,7.26,319.14
45,9046,0.002220,7.25,326.39
46,9247,0.000365,7.24,333.63
47,9448,0.000308,7.26,340.90
48,9649,0.000293,7.27,348.17
49,9850,0.000273,7.25,355.42
50,10051,0.001060,7.30,362.72
51,10252,0.000224,7.29,370.01
52,10453,0.000187,7.19,377.29
53,10654,0.000163,7.26,384.65
54,10855,0.000153,7.26,391.99
55,11056,0.000142,7.27,399.36
56,11257,0.000153,7.25,406.70
57,11458,0.000143,7.23,413.93
58,11659,0.000143,7.24,421.17
59,11860,0.000138,7.28,428.46
60,12061,0.000124,7.25,435.80
61,12262,0.000118,7.17,443.06
62,12463,0.000108,7.27,450.42
63,12664,0.000111,7.27,457.78
64,12865,0.000104,7.28,465.07
65,13066,0.000100,7.30,472.46
66,13267,0.000097,7.27,479.82
67,13468,0.000100,7.23,487.14
68,13669,0.000098,7.23,494.38
69,13870,0.000100,7.28,501.66
70,14071,0.000098,7.24,508.90
71,14272,0.000092,7.20,516.10
