iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.010010,7.01,7.48
2,403,0.025682,7.06,14.63
3,604,0.016324,6.99,21.62
4,805,0.016109,7.03,28.65
5,1006,0.018241,7.05,35.70
6,1207,0.022491,7.04,42.74
7,1408,0.022372,7.03,49.77
8,1609,0.019528,7.03,56.80
9,1810,0.019638,7.06,63.86
10,2011,0.019607,7.08,70.94
11,2212,0.018811,7.06,78.00
12,2413,0.021985,7.00,85.01
13,2614,0.001528,7.03,92.04
14,2815,0.001012,6.98,99.11
15,3016,0.000707,7.03,106.23
16,3217,0.000586,7.01,113.33
17,3418,0.018695,7.02,120.44
18,3619,0.019445,7.06,127.51
19,3820,0.000382,7.02,134.53
20,4021,0.000385,7.00,141.62
21,4222,0.000436,7.05,148.68
22,4423,0.000486,7.06,155.73
23,4624,0.000486,7.04,162.78
24,4825,0.018565,7.05,169.83
25,5026,0.018829,7.04,176.88
26,5227,0.011550,7.02,183.90
27,5428,0.010620,6.99,190.89
28,5629,0.009672,7.06,197.95
29,5830,0.009903,7.04,204.99
30,6031,0.008758,6.98,211.98
31,6232,0.008479,7.03,219.01
32,6433,0.009110,7.01,226.02
33,6634,0.008809,7.01,233.04
34,6835,0.008577,7.02,240.06
35,7036,0.008474,7.03,247.10
36,7237,0.008165,7.07,254.17
37,7438,0.006994,7.01,261.18
38,7639,0.007016,7.01,268.18
39,7840,0.006699,7.03,275.22
40,8041,0.006593,7.01,282.23
41,8242,0.006328,7.01,289.24
42,8443,0.005456,6.99,296.24
43,8644,0.005256,7.02,303.26
44,8845,0.005147,7.06,310.32
45,9046,0.004674,7.00,317.32
46,9247,0.004081,7.03,324.35
47,9448,0.003651,7.02,331.37
48,9649,0.003277,7.04,338.41
49,9850,0.003259,7.03,345.44
50,10051,0.002885,7.05,352.50
51,10252,0.002801,7.04,359.54
52,10453,0.002442,7.05,366.60
53,10654,0.002168,7.05,373.65
54,10855,0.001886,7.03,380.68
55,11056,0.001761,6.97,387.65
56,11257,0.001596,7.07,394.72
57,11458,0.001496,7.00,401.73
58,11659,0.001290,7.04,408.77
59,11860,0.001271,7.02,415.79
60,12061,0.001181,7.04,422.84
61,12262,0.001113,7.03,429.87
62,12463,0.001053,7.02,436.89
63,12664,0.000988,7.01,443.90
64,12865,0.000872,7.03,450.93
65,13066,0.000773,7.08,458.01
66,13267,0.000721,7.04,465.05
67,13468,0.000693,7.01,472.06
68,13669,0.000660,7.02,479.08
69,13870,0.000610,7.01,486.10
70,14071,0.000559,7.04,493.14
71,14272,0.000527,7.05,500.19
72,14473,0.000517,6.98,507.17
73,14674,0.000487,7.01,514.19
74,14875,0.000458,7.06,521.25
75,15076,0.000409,7.04,528.30
76,15277,0.000370,7.00,535.30
77,15478,0.000346,7.02,542.41
78,15679,0.000309,7.01,549.52
79,15880,0.000272,6.99,556.59
80,16081,0.000264,7.02,563.70
81,16282,0.000261,7.02,570.81
82,16483,0.000236,7.03,577.93
83,16684,0.000231,7.02,585.04
84,16885,0.000217,7.03,592.16
85,17086,0.000193,6.99,599.23
86,17287,0.000189,7.02,606.35
87,17488,0.000165,7.07,613.50
88,17689,0.000165,7.04,620.64
89,17890,0.000151,7.03,627.75
90,18091,0.000151,7.05,634.89
91,18292,0.000144,7.01,641.91
92,18493,0.000138,7.03,649.03
93,18694,0.000133,7.07,656.19
94,18895,0.000124,7.03,663.31
95,19096,0.000113,7.00,670.39
96,19297,0.000106,7.10,677.58
97,19498,0.000096,7.07,684.74
98,19699,0.000094,7.03,691.86
99,19900,0.000091,7.00,698.95
