iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.035818,6.94,7.41
2,403,0.037917,6.92,14.42
3,604,0.038084,6.97,21.39
4,805,0.037111,6.91,28.30
5,1006,0.037413,6.88,35.18
6,1207,0.037079,6.92,42.10
7,1408,0.036947,6.93,49.04
8,1609,0.036505,6.90,55.95
9,1810,0.036147,6.94,62.89
10,2011,0.034257,6.95,69.85
11,2212,0.034378,6.94,76.88
12,2413,0.035491,6.93,83.81
13,2614,0.035270,6.98,90.79
14,2815,0.035042,6.92,97.71
15,3016,0.037371,6.91,104.63
16,3217,0.034175,6.92,111.55
17,3418,0.034853,6.96,118.60
18,3619,0.037204,6.93,125.53
19,3820,0.035372,6.92,132.45
20,4021,0.035169,6.92,139.37
21,4222,0.034777,6.95,146.32
22,4423,0.034432,6.95,153.27
23,4624,0.033535,6.91,160.19
24,4825,0.032041,6.91,167.18
25,5026,0.031200,6.91,174.18
26,5227,0.028555,6.95,181.22
27,5428,0.031619,6.95,188.27
28,5629,0.037022,6.93,195.20
29,5830,0.036806,6.90,202.11
30,6031,0.037041,6.94,209.05
31,6232,0.036092,6.90,215.95
32,6433,0.036277,6.92,222.87
33,6634,0.017324,6.94,229.82
34,6835,0.022076,6.95,236.86
35,7036,0.025898,6.94,243.81
36,7237,0.027751,6.91,250.72
37,7438,0.029466,6.92,257.64
38,7639,0.031389,6.89,264.53
39,7840,0.031794,6.95,271.48
40,8041,0.031998,6.92,278.41
41,8242,0.032656,6.92,285.33
42,8443,0.033362,6.93,292.27
43,8644,0.033344,6.94,299.21
44,8845,0.037910,6.98,306.19
45,9046,0.033298,6.93,313.12
46,9247,0.033901,6.92,320.05
47,9448,0.037984,6.94,326.99
48,9649,0.034206,6.88,333.87
49,9850,0.034145,6.96,340.84
50,10051,0.034482,6.94,347.78
51,10252,0.034166,6.90,354.68
52,10453,0.033927,6.89,361.57
53,10654,0.034151,6.91,368.49
54,10855,0.034103,6.96,375.44
55,11056,0.033550,6.98,382.43
56,11257,0.032881,6.94,389.38
57,11458,0.032296,6.95,396.33
58,11659,0.031098,6.93,403.26
59,11860,0.030489,6.95,410.22
60,12061,0.030025,6.90,417.12
61,12262,0.029279,6.91,424.04
62,12463,0.029235,6.92,430.95
63,12664,0.028157,6.89,437.84
64,12865,0.028138,6.96,444.80
65,13066,0.025923,6.92,451.73
66,13267,0.023363,6.91,458.64
67,13468,0.022626,6.88,465.52
68,13669,0.021155,6.90,472.43
69,13870,0.020660,6.89,479.31
70,14071,0.021215,6.92,486.24
71,14272,0.022953,6.93,493.17
72,14473,0.023541,6.92,500.09
73,14674,0.024393,6.91,507.00
74,14875,0.025841,6.90,513.91
75,15076,0.025565,6.90,520.81
76,15277,0.025357,6.95,527.76
77,15478,0.025454,6.89,534.66
78,15679,0.024852,6.99,541.65
79,15880,0.025427,6.99,548.64
80,16081,0.023702,6.93,555.58
81,16282,0.024755,6.91,562.49
82,16483,0.023911,6.95,569.43
83,16684,0.022806,6.92,576.36
84,16885,0.022785,6.97,583.33
85,17086,0.020759,6.95,590.29
86,17287,0.019493,6.95,597.24
87,17488,0.019955,6.93,604.18
88,17689,0.018141,6.91,611.09
89,17890,0.015559,6.93,618.02
90,18091,0.037698,6.91,625.02
91,18292,0.013449,6.96,631.98
92,18493,0.014945,6.92,638.99
93,18694,0.013116,6.95,645.94
94,18895,0.013295,6.92,652.94
95,19096,0.013332,6.93,659.88
96,19297,0.013255,6.94,666.82
97,19498,0.012157,6.94,673.76
98,19699,0.011270,6.92,680.77
99,19900,0.013006,6.93,687.78
100,20101,0.012224,6.94,694.72
101,20302,0.013223,6.96,701.69
102,20503,0.012456,6.95,708.64
103,20704,0.012320,6.92,715.56
104,20905,0.009757,6.89,722.45
105,21106,0.008401,6.91,729.45
106,21307,0.007742,6.94,736.47
107,21508,0.006857,6.92,743.49
108,21709,0.005770,6.91,750.49
109,21910,0.004969,6.93,757.51
110,22111,0.004190,6.91,764.51
111,22312,0.003595,6.89,771.48
112,22513,0.002930,6.94,778.51
113,22714,0.002456,6.95,785.56
114,22915,0.002498,6.96,792.61
115,23116,0.002017,6.91,799.52
116,23317,0.002276,6.94,806.55
117,23518,0.001940,6.92,813.47
118,23719,0.001814,6.90,820.46
119,23920,0.001567,6.96,827.51
120,24121,0.001586,6.97,834.57
121,24322,0.001440,6.93,841.50
122,24523,0.001240,6.96,848.55
123,24724,0.001294,6.91,855.55
124,24925,0.001168,6.96,862.52
125,25126,0.001214,6.95,869.56
126,25327,0.000948,6.91,876.47
127,25528,0.000836,6.93,883.49
128,25729,0.000739,6.93,890.51
129,25930,0.000699,6.94,897.54
130,26131,0.000592,6.91,904.53
131,26332,0.000488,6.94,911.56
132,26533,0.000464,6.93,918.58
133,26734,0.000424,6.98,925.64
134,26935,0.000378,6.94,932.67
135,27136,0.000388,6.88,939.64
136,27337,0.000377,6.97,946.61
137,27538,0.000342,6.95,953.64
138,27739,0.000323,6.88,960.61
139,27940,0.000291,6.95,967.65
140,28141,0.000287,6.94,974.68
141,28342,0.000278,6.93,981.70
142,28543,0.000255,6.92,988.71
143,28744,0.000216,6.93,995.73
144,28945,0.000195,6.96,1002.77
145,29146,0.000175,6.93,1009.79
146,29347,0.000169,6.93,1016.81
147,29548,0.000157,6.92,1023.82
148,29749,0.000140,6.93,1030.85
149,29950,0.000135,6.98,1037.92
150,30151,0.000125,6.94,1044.95
