iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.000377,6.98,7.46
2,403,0.000360,7.06,14.61
3,604,0.000816,7.04,21.74
4,805,0.002039,7.04,28.79
5,1006,0.002442,7.04,35.83
6,1207,0.003678,7.07,42.90
7,1408,0.004791,7.08,49.99
8,1609,0.003853,7.03,57.02
9,1810,0.003191,7.03,64.05
10,2011,0.002770,7.00,71.05
11,2212,0.001786,7.06,78.11
12,2413,0.001069,7.03,85.14
13,2614,0.000813,7.04,92.18
14,2815,0.000518,7.02,99.20
15,3016,0.000413,7.04,106.25
16,3217,0.000271,7.01,113.25
17,3418,0.000236,7.02,120.37
18,3619,0.000213,7.02,127.48
19,3820,0.000201,7.03,134.60
20,4021,0.000162,7.01,141.70
21,4222,0.000180,7.07,148.86
22,4423,0.000142,7.03,155.89
23,4624,0.000133,7.05,163.03
24,4825,0.000130,7.06,170.18
25,5026,0.000125,7.02,177.30
26,5227,0.000125,7.04,184.42
27,5428,0.000110,7.05,191.57
28,5629,0.000094,7.07,198.73
29,5830,0.000098,7.04,205.86
30,6031,0.000094,7.03,212.90
31,6232,0.000089,7.07,219.97
